,-4,-3,-2,-1,0,1,2,3,4
GDP (output),0.258457292925708,0.490171763705486,0.73430006458226,0.92573970079277,1,0.92573970079277,0.73430006458226,0.490171763705486,0.258457292925708
 (s.e.),0.0288600573106464,0.021290367305737,0.0117318139384521,0.00333785994156936,0,0.00333785994156936,0.0117318139384521,0.021290367305737,0.0288600573106464
 (p-val.),0.000111956962095908,7.45107368712998e-09,5.35625946949366e-13,6.41499298911269e-19,NA,6.41499298911269e-19,5.35625946949366e-13,7.45107368712998e-09,0.000111956962095908
Consumption,0.798414033066773,0.870692138187614,0.859114875329364,0.762244534672544,0.598189242261409,0.396853913929285,0.193548313419484,0.013759169135529,-0.129151441564541
 (s.e.),0.0073626684343818,0.00749634055926416,0.0125210787216634,0.0210378407291368,0.0309867054833558,0.0396059597115539,0.0459618316820978,0.0492898527163913,0.049495431706897
 (p-val.),3.48278319325422e-15,1.71381833159089e-15,1.97049506605794e-13,6.85479442162457e-11,2.49007786176882e-08,1.34452856739924e-05,0.0233463801269043,0.055070830724981,0.0355061248169278
Investment,0.167138501056247,0.26769269752445,0.386215083256665,0.505726025576542,0.598907661440401,0.63536398265888,0.601398475550573,0.498354195040012,0.344420862011758
 (s.e.),0.0356047047478391,0.034677180442737,0.0332668284378198,0.0316199459384971,0.0304151642290064,0.0297759919635049,0.0291355794136057,0.0274425415212123,0.0261298337154077
 (p-val.),0.0262425748090872,0.000285098632436116,4.36809005648476e-06,1.67877725109678e-07,2.09021011514833e-08,9.48461361658427e-09,1.37470166489952e-08,5.75315310192138e-08,2.06905151596046e-06
Gov. Expenditure,0.708570120654754,0.801033697994825,0.813646943142109,0.736068390239917,0.582755786880326,0.385992759110377,0.186417982425989,0.0131495552249455,-0.121861283158272
 (s.e.),0.0176129651410998,0.014126561770629,0.0129095591294012,0.0164494299255728,0.0227025400170216,0.0280083579316252,0.0318871294807617,0.0346747514614788,0.0366406485630659
 (p-val.),2.93903953596189e-11,1.17493428394808e-12,4.47294619545005e-13,1.08206374535095e-11,2.1131775196401e-09,1.05518553347948e-06,0.00638844855316536,0.288955084807576,0.0930016007025152
Imports,0.134245956950679,0.257824545332904,0.319740734755456,0.31757858922608,0.279729227021019,0.23893486329249,0.214598884277984,0.198465315966421,0.170686856185827
 (s.e.),0.0208160360688044,0.0194067047536372,0.0227780637425658,0.0327177682475087,0.0439351441877994,0.0498010747583558,0.0463942917596746,0.0364527395518358,0.0285928557683127
 (p-val.),0.0259913145505575,5.27951038975885e-06,1.530446061353e-06,3.06771363487495e-05,0.000896153774745106,0.00545715711451647,0.0061287300590191,0.00700996938762182,0.008740105639503
Exports,0.437688522116906,0.418653972971939,0.373349981649368,0.315109603635241,0.250137393390956,0.178471739247349,0.100499639749388,0.0224781672856616,-0.0438646110416678
 (s.e.),0.0392730444986879,0.036221053517237,0.0345471134217758,0.0365197690961398,0.0406353411525619,0.0436278823510278,0.0446196711790496,0.0435538456639024,0.0408819245981145
 (p-val.),4.62224903271746e-06,3.76742562473967e-06,8.48284405685403e-06,7.67803176108634e-05,0.00155846421856989,0.0335408795404496,0.198631444248144,0.142369131987173,0.0625081948318356
Net Exports,0.0588493917466088,-0.0437244536277922,-0.104137984279505,-0.118481792483335,-0.109956667181664,-0.104737444537001,-0.114951093913091,-0.129537563089925,-0.129498887478086
 (s.e.),0.0384056145389442,0.0357177790442575,0.0391898180593476,0.0455834263466856,0.0493948134048145,0.0474320796465476,0.0398533309058123,0.0318853274079984,0.0282838266769773
 (p-val.),0.16615236718958,0.410591829011602,0.0940104997527499,0.107760501335996,0.16136971983167,0.153142190415071,0.148789996313097,0.067819053130618,0.0118755396909923
Price,0.0922887913121157,0.147002850205907,0.206293489132298,0.271695111556674,0.334574412592688,0.378266581454796,0.387565922563413,0.355686654261266,0.287759889345625
 (s.e.),0.0221244971006417,0.0290930472660204,0.0363266104842786,0.0413039994287921,0.042613687922333,0.0398539704025303,0.0343413100852541,0.0293823713590173,0.0297607357907535
 (p-val.),0.166605429216684,0.0243885708934997,0.00487272408359537,0.000793410039177325,0.000130645690019963,2.30200197649723e-05,5.45629358207927e-06,3.82228286708812e-06,4.30822569278141e-05
Profits,-0.466147172637048,-0.302106388101147,-0.0495622533835471,0.227164555894575,0.443743879368469,0.539460157393986,0.517082396838944,0.426050695865708,0.327684649962592
 (s.e.),0.0163815861207323,0.0267955615434613,0.0371377052387531,0.0444197525053042,0.0476723601219653,0.0477491935077331,0.0461496972486387,0.0451351962403538,0.0441259553900874
 (p-val.),1.26706016188645e-09,1.1030500408242e-05,0.296821081590096,0.00129640725385563,1.90638166404924e-05,2.82915422823369e-06,3.24723700628421e-06,1.85133654564275e-05,0.000205568419699333
Wages,0.625462262294035,0.763706466644464,0.846847955286608,0.850634296773718,0.768162524339697,0.612557357946947,0.417293184689324,0.216556576671562,0.0352773128572548
 (s.e.),0.0165957403202669,0.0128037678195736,0.0105536963147852,0.0113528343974379,0.0156866036222712,0.021937944640833,0.0287100874134045,0.0349007098166603,0.0397517300272624
 (p-val.),6.23718589269076e-11,7.8762774386936e-13,4.90017092173612e-14,9.02846657273641e-14,4.58788527207073e-12,9.29310738298009e-10,5.6026734814389e-07,0.00248533689277692,0.108249921612451
Profit Share,-0.576462869330491,-0.451727082197168,-0.231480627837767,0.0285392749066811,0.249988515850004,0.372661090271153,0.392090107197605,0.347970532062796,0.293361250081037
 (s.e.),0.0163018501072192,0.0241742949623332,0.035707457956095,0.0457269466413575,0.0518328807067486,0.0534623747062813,0.0516889940571547,0.0489415262511795,0.0457930991202939
 (p-val.),1.24741231159055e-10,5.44697961833585e-08,0.00149104632817637,0.265675974338541,0.000458309129965142,0.000237024346933318,0.000115993808595049,0.000240820724440908,0.000752937726828398
Wage Share,0.576462869332065,0.451727082201879,0.231480627844852,-0.0285392748988398,-0.249988515843188,-0.372661090266175,-0.392090107194939,-0.34797053206241,-0.293361250082629
 (s.e.),0.0163018501075541,0.0241742949632868,0.0357074579569292,0.0457269466415975,0.0518328807063358,0.0534623747055625,0.0516889940565978,0.0489415262513248,0.0457930991214191
 (p-val.),1.24741231178331e-10,5.44697961959007e-08,0.00149104632794234,0.265675974409018,0.000458309130068421,0.000237024346940014,0.00011599380859334,0.000240820724448431,0.000752937726910303
