,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.01011022061238,0.0012462873594,0.00924166311526,0.02784457287532,0.4220609772588,0.036054102711,0.053212293191,0.021276471789,-0.05357337802,0.030389074234,0.20109236446,0.79890763554,-0.0069182301855,0.025237749706,0.0026604712619,0.71599937739,0.0610475834083,-0.0048959633233,0.255530834087,0.00293021681713,679.55178417,0.70437634676,0.29653114844,0.23971620041,0.083409395888,0.124784963797,6.8071985701
 (s.e.),0.00492736017705039,0.00131218516552293,0.00491250609177853,0.00558791946452462,0.361684799804062,0.0128657262434139,0.0259192394739145,0.000718390293095546,0.025958018877396,0.00271295429405426,0.00514116322843123,0.00514116322843123,0.000737803056679851,0.0012980918291158,0.00165194765510247,0.0189511792362026,0.028448223725362,0.00414671008012829,0.0246411077674102,0.00358900778724254,42.1975642063152,0.00820391803660161,0.00931167053836115,0.00132118345357651,0.00815985743690423,0.00795723041586607,0.236761025954863
ADF test (logs),-2.27775995556591,-2.21829719332164,-2.99781303709768,-2.37671236916177,-4.67275458005994,-1.91761453988776,-2.95676194701906,-3.94929596393162,-4.10192220307398,-2.3369836421988,-5.06108085768823,-5.06108085769774,-2.38190807966053,-4.74678584646525,-3.48188529865528,-5.45469827553791,-4.65826894003549,-3.02037793118874,-5.01985795636083,-3.35733151581689,-3.44565318500883,-5.45897128695074,-3.76299355782013,-5.18588284680887,-3.82672060007332,-5.46673127210235,-4.36547122815943
 (s.e.),0.239616416458355,0.259267358118179,0.26694412769219,0.253003881494267,0.248976118176473,0.184418307021755,0.340682827571515,0.593110827111265,0.209854909444696,0.232753594046802,0.156855218023474,0.156855218020888,0.182192304923207,0.235707333715936,0.361890871911185,0.346533647939234,0.283942863170274,0.268416920702912,0.410289315927999,0.222262578137453,0.301436135105574,0.30903978460639,0.146481278588207,0.232380178857462,0.320547946346908,0.225270718676973,0.341091462447185
 (p-val.),0.464335712549615,0.478505185023267,0.240263927019631,0.433350519268991,0.0151349146819352,0.606620354197297,0.284001532779026,0.183926001770225,0.0377075969526856,0.435930672894084,0.01,0.01,0.422797076600101,0.0172049212007322,0.189125831758536,0.01,0.0212189290829213,0.227733809105452,0.0137776360338384,0.136129650406722,0.14542039683502,0.01,0.0462174217812057,0.0109567329608696,0.11013429760261,0.01,0.0460416576465829
 (s.e.),0.0961688534965492,0.0933278729663276,0.0836710317144296,0.0977197176996935,0.00355636330841019,0.0751027611485689,0.0828666226970316,0.0967640073754369,0.0187824842078066,0.0923146810420421,0,0,0.0732263416139425,0.00686825106989395,0.0692182738263355,0,0.00733407291409767,0.0857414164704405,0.00299659582533288,0.0529389721903757,0.0611285500126518,0,0.0241375845873503,0.000956732960869554,0.0624560219645713,0,0.0257256273173527
 s.d. (bpf),0.0130089123818793,0.0115803157129086,0.0298811945906602,0.014019155740135,0.206214030981995,0.0210787133174087,0.0855946130036218,0.00176575350518189,0.059571920679243,0.0137043269122559,0,0,0.00103039076099175,0.00146417551965971,0.00517617807800603,0.0172157660103249,0.0614872205363835,0.016647984265021,0.0193151898125826,0.0169643920562773,0.0267620350281721,0.00792544657667048,0.00660397851443786,0.00299771439522115,0.00419692394579713,0.00775333090142017,0.151401227796549
 (s.e.),0.000293020721398452,0.000225654401363417,0.000709119026676977,0.000246026290603257,0.00690527770167438,0.000252879669201202,0.00746212874267605,3.20012734615904e-05,0.0012151929819705,0.000263643145308975,0,0,1.76160541475535e-05,3.04034204885684e-05,8.67840204042185e-05,0.000419761601424222,0.00164074048173965,0.000374428707814637,0.000520704777670146,0.000324281254146961,0.000658290057876809,0.000167407281844785,0.000113087480175953,5.87923669089705e-05,0.000120321618331338,0.000158217458491084,0.00445025009819755
 relative s.d. (GDP),1,0.890183235382489,2.29697869533529,1.07765778787648,15.8517503176699,1.62032864075326,6.57969017631715,0.135734137747094,4.57931600509689,1.05345677716649,0,0,0.0792065263216796,0.112551724285515,0.397894760611668,1.32338242467568,4.72654582730773,1.27973682782358,1.48476592397437,1.30405921404373,2.05720772364108,0.609232066756802,0.507650318533688,0.230435435893688,0.322619126226357,0.596001469901522,11.6382694688176
