,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.0123441940331008,0.0017526813800922,0.006518035088534,0.026023108597374,0.45108268478192,0.03056852296928,0.01541386984382,0.0209021475694,-0.082669716493992,0.02753033473338,0.1718137352384,0.828186264762,-0.00697625520624,0.01916239560252,0.0027087651234006,0.683669720358,0.03209148617494,-0.00520279827842,0.3276482041805,0.00019388404373008,671.271015504,0.716099943308,0.331163042862,0.247150709072,0.078204890964,0.1340181552774,7.62093038354
 (s.e.),0.0030229283105814,0.00110723080567304,0.00248081633511764,0.00339819165239555,0.131611407500061,0.00857410609036602,0.012835190817654,0.000445272083258579,0.0116705783842296,0.00219531919009409,0.00294429192413617,0.00294429192434188,0.000301290291341285,0.000524573298870473,0.000529592339893242,0.00675082106346062,0.00866215950855555,0.00143028922865842,0.0121594769517048,0.00202166457467017,14.9458751673865,0.00332757082740843,0.00405671469522025,0.000808733019347487,0.0042405486935024,0.00237532302322671,0.106992583851287
ADF test (logs),-1.97789749953339,-2.0081142140534,-2.82247727256536,-2.35037878247824,-4.61178437784415,-1.296487075345,-2.72341913787553,-3.52490328758889,-3.97523698939546,-2.13898130677909,-4.70267145682726,-4.70267145685063,-2.47993489237265,-4.31927195556605,-2.86864826947824,-5.63334591103233,-4.52619638490829,-2.35884235368269,-4.80610848433838,-3.44557370432064,-3.33839789339613,-5.01124562807883,-3.47566159079303,-4.9820423863356,-3.67363587757049,-5.53345612099845,-3.95555912007377
 (s.e.),0.161660789422184,0.170987398144034,0.162486927161322,0.191823220158369,0.149588653036197,0.160053761078533,0.176197757707953,0.254559714358163,0.152044886203861,0.184774023168209,0.106503788305688,0.106503788307935,0.128444993799601,0.116221415570406,0.15347945038019,0.145890804620472,0.163526277020546,0.189827843469239,0.151893660947129,0.184577591342071,0.114616904624534,0.134891434379464,0.0938452955565729,0.123981814403296,0.171253285974838,0.122165589375957,0.110789141205549
 (p-val.),0.555448013434723,0.543593019124918,0.302351996988675,0.452425212397062,0.0480080596927503,0.730729851930708,0.366362488295511,0.241982913342773,0.0971868501885408,0.506763601751684,0.0144073692923937,0.0144073692925117,0.405118263539414,0.0279923554645007,0.315057593981284,0.0121645381129619,0.0662468486819797,0.460006564091039,0.0276925294747793,0.172849360762076,0.151999419432641,0.0201324935478649,0.103946533761608,0.023126467177372,0.152858610109029,0.0134542572055712,0.054924641173171
 (s.e.),0.0424969798211661,0.0413537317562717,0.0425943211297769,0.043839814471625,0.0171447485147145,0.0336227409642831,0.0472521567021313,0.0485319473901741,0.0281517599020083,0.0434273977740073,0.00353669253315661,0.00353669253315602,0.041400627625744,0.00922999705860355,0.0450566695741345,0.00172044971003082,0.01913327542155,0.0493133053666469,0.0109453648484346,0.0371374645140103,0.026021225943992,0.00791419021421606,0.0178190399820197,0.00880137886656277,0.0315767240666474,0.00247574731190884,0.012604505084656
 s.d. (bpf),0.0124112247487249,0.0112323388216834,0.0268706423007249,0.0138636870439166,0.203911776856842,0.0199870448189194,0.0674047326755556,0.00175498533606725,0.0689776978186627,0.0132622323333284,0,0,0.00103994042820871,0.00130927843040574,0.00505859356515091,0.0152694916442037,0.0563335777589469,0.0144300604529589,0.0163123360377324,0.0165495352998036,0.0240840144163839,0.00784142391009566,0.0063582689160278,0.00306348900489706,0.00368944167916433,0.00723811694718822,0.144660283571231
 (s.e.),3.28022509022121e-05,2.74962168556913e-05,7.59580908015234e-05,3.41092387404564e-05,0.000677589627749046,5.42353176474967e-05,0.000379567639470125,4.47164533358096e-06,0.000376170484381139,3.41573942880792e-05,0,0,2.57735897804645e-06,3.82527800821447e-06,1.4450249959308e-05,4.96772564060744e-05,0.000459107036420495,3.85629507257142e-05,5.45825346997166e-05,4.5614767726025e-05,8.03640595008649e-05,2.46462053106801e-05,1.49315557388814e-05,8.51457732439212e-06,7.51930177504045e-06,2.75507090904154e-05,0.000444862949166149
 relative s.d. (GDP),1,0.905014537170262,2.16502745254738,1.11702811967376,16.429625680398,1.61040068354034,5.43094932532589,0.141403074361984,5.55768662764319,1.06856757506473,0,0,0.0837903147564509,0.105491477022866,0.407582141776187,1.23029692502929,4.53892173411286,1.16266208574149,1.31432121873454,1.33343289118214,1.94050264208278,0.631800976039956,0.512299877309129,0.246832127120395,0.297266527184867,0.583191191339262,11.6556009982893
