,-4,-3,-2,-1,0,1,2,3,4
GDP (output),0.0714301606961756,0.356406775084026,0.662623080289679,0.905110315211245,1,0.905110315211245,0.662623080289679,0.356406775084026,0.0714301606961756
 (s.e.),0.012829271661895,0.0107143861334046,0.00635103190937661,0.00189079712168113,1.18687833744435e-17,0.00189079712168113,0.00635103190937661,0.0107143861334046,0.012829271661895
 (p-val.),0.341401279520997,6.47180950298081e-30,1.65175773642621e-56,1.01264953805055e-89,0,1.01264953805055e-89,1.65175773642621e-56,6.47180950298081e-30,0.341401279520997
Consumption,0.739595446903391,0.810405639086548,0.777029227413803,0.637375391066844,0.414628835223719,0.148948492551942,-0.106734692727375,-0.313489130862765,-0.450004391567617
 (s.e.),0.00723188528272002,0.00758446034634037,0.0102369401831603,0.0134007479334694,0.015936837186492,0.0168904972672979,0.0162040120934881,0.0140614911369883,0.0116081726805068
 (p-val.),2.03113587957811e-56,1.35849046914508e-57,2.91909319460449e-50,6.70272675998109e-40,5.26128999965493e-26,4.20989771995815e-07,0.00240606866920387,1.84749336197004e-21,2.67665611525842e-34
Investment,0.000928069146301712,0.148295213132476,0.324479827336735,0.499740510957852,0.632068368807497,0.676594583924413,0.614666954967385,0.451097407338556,0.217287649675741
 (s.e.),0.01612510105322,0.0146411062786144,0.0128717410973495,0.0112590449234073,0.0109563312510785,0.0124238826205581,0.0147783788404545,0.0169516874723269,0.0182993973815307
 (p-val.),0.349866332270226,1.34590394797961e-05,6.00073688847702e-24,1.50555667971932e-37,6.94032979637781e-44,6.65919176177318e-43,5.14529517846805e-37,7.52800534645848e-27,3.78393160094099e-11
Gov. Expenditure,0.619783087013109,0.732885199522657,0.747236278071433,0.643848113729025,0.439051581234244,0.177648327139656,-0.0778361554407944,-0.282069232455453,-0.41522251183704
 (s.e.),0.0124675396795416,0.0105756701560895,0.0100648316079819,0.0115285336102878,0.0131850232305862,0.0137562335800779,0.013414865988229,0.0124145872378132,0.0113027890746827
 (p-val.),1.01127704339419e-40,3.48300369769585e-48,1.09228717130666e-49,2.86315270793186e-43,4.04774108587455e-31,1.71715825312447e-09,0.125563669036692,5.22181551716822e-21,8.47397825104061e-33
Imports,0.146804115620402,0.321405887206004,0.4141717693748,0.413447740983038,0.352154392957861,0.274427668751276,0.207862913615265,0.144749630491747,0.064435527762372
