,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.01217903885054,0.0024289028830444,0.003052630171486,0.028000258728306,0.4091627338426,0.01682968577352,0.0044937555251642,0.021968491501,-0.04887758918038,0.027537371882552,0.218756530032,0.781243469968,-0.00715354450808,0.030976296674,0.003081403782294,0.732511332736,0.005625421697996,-0.0038836877258904,0.182549219738,-0.001460152780072,590.322067042,0.701297024794,0.262645677202,0.235223212196,0.0797711055112,0.11772981638868,6.03637155952
 (s.e.),0.00405257616310615,0.00149440135421188,0.00309378146495238,0.00446831574040584,0.146463308774817,0.00820623971481488,0.012802130857107,0.000421298332140056,0.00909980036117033,0.00260805008047556,0.00233866496921392,0.00233866496921392,0.000242376662206321,0.000624056171471491,0.000635536808653315,0.00811804110795625,0.0150569314032772,0.00172641802676579,0.00994250701158006,0.00229909479637232,13.2400715388605,0.00289875836976637,0.00302720852882068,0.000632549203819557,0.00411852413381821,0.00359470153504515,0.0685818001955011
ADF test (logs),-2.36191188654372,-2.29302794299836,-2.85861862346537,-2.43120403682025,-4.23363752914884,-1.70490343389479,-2.77250345102425,-3.85698698909479,-3.71166023868357,-2.41368650708884,-4.77620529829786,-4.7762052982962,-2.44715360603089,-4.60611782894382,-3.20054452281965,-5.61799043637979,-4.51242216918863,-3.07167007470859,-5.59083951915469,-3.44909395048878,-3.81330693107683,-5.15133136309412,-3.45862260433009,-4.8714570859385,-3.56634745394454,-5.29436849963307,-4.63134156050519
 (s.e.),0.153440347972768,0.161111553051441,0.141211450688195,0.164466168850101,0.134358082132633,0.147403925567474,0.194931701364442,0.220322355742041,0.215268254671958,0.151054786585769,0.120798791632362,0.120798791631761,0.0930037990505067,0.120807493891793,0.14494025672487,0.115840611422351,0.153662829930871,0.171332227465268,0.105964827235231,0.180217870718542,0.118001849881636,0.148627425506304,0.0727261910223622,0.129821128861142,0.163004872447194,0.13946901439634,0.0982191142706363
 (p-val.),0.413323939802926,0.430816375013058,0.267856596457465,0.385484512873219,0.0545628049065717,0.624650102445264,0.338746768985577,0.164073570489706,0.14659727037075,0.387393719373105,0.0178919446459991,0.0178919446459988,0.395236401603555,0.0277466830923051,0.224730440600321,0.0107221371952987,0.0531550346872921,0.234978971004089,0.01,0.18613628686266,0.0721091262204024,0.0276111751271468,0.086854906430458,0.0288685369262821,0.156391674735123,0.0273493697740907,0.0164176044463413
 (s.e.),0.0432378394160211,0.043462480681662,0.0408477728197624,0.0471828660382951,0.0229455335337027,0.0385531993536745,0.046174659082835,0.0403834920504614,0.0351663447669057,0.0441887952159085,0.00547133677621501,0.00547133677621498,0.0332227813462429,0.00813138417327151,0.0350153475571752,0.00072213719529865,0.0225163515962367,0.0404400629088158,0,0.0385652320695635,0.0132730294943425,0.0104143320913423,0.0122879067825949,0.012369791256456,0.0305982398926658,0.0114281406142495,0.00276918721938418
 s.d. (bpf),0.0121431812238276,0.0108374609091861,0.0313313761494804,0.0135769569589913,0.208825503991871,0.0211110652234882,0.0798844153678933,0.00156603733023011,0.0421659900915791,0.0133443364472594,0,0,0.000858592282237125,0.00153032103093464,0.00527261380587259,0.0186470959710406,0.0766788232338909,0.0187045373510146,0.0248080488004413,0.0164265778950026,0.0278066747121425,0.00677597614501799,0.00595948942345997,0.00264709730613942,0.00404773131176519,0.00819219964107155,0.138471485364314
 (s.e.),3.33776889462218e-05,3.10239584545508e-05,0.000125438977010346,3.85349137727811e-05,0.000768924718281427,6.18432030096885e-05,0.00106200041211906,4.38320782786745e-06,0.000147779165858717,4.06727962152317e-05,0,0,2.75377093806952e-06,4.42167199195437e-06,2.01639908647177e-05,6.77774147179354e-05,0.000599227370652011,5.96563498919025e-05,0.000101988721082583,5.19939822423888e-05,0.000105737965626551,2.09686414052036e-05,2.24116261256888e-05,7.99097851798778e-06,2.36024887908033e-05,3.04814064327778e-05,0.0005148192929513
 relative s.d. (GDP),1,0.892472961526801,2.58016211501491,1.11807249753881,17.1969354770156,1.73851191334143,6.57854098488974,0.128964338204654,3.47240062668588,1.0989160254872,0,0,0.0707057126473892,0.126023074409185,0.434203666130467,1.53560221389523,6.31455808988753,1.54033255423317,2.04296125892961,1.35274089978745,2.28990033168406,0.558006672231988,0.490768383804249,0.217990430789688,0.333333682266279,0.674633729833222,11.4032297477865
