t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,18.73064508,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,1.020680609,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,171.0101204,117.5463455,39.65379082,77.89255473,37.32306439,0.7328927517,-0.0002790668262,1,5.148462563,1.074159321,0,0.9926203415,0.02356176989,0.01968529975,0.04559969848,0,0.01420294487,0.03398473862,0.03296603615,0.08277078325,-6.938893904e-17,3.150556625,0.3416164767,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,165.8357812,213.6209369,53.6160931,160.0051313,62.1125789,1.423338756,-0.002967855053,1,0.8281708217,0.3521051077,1.075484496,0.6643886212,0.0525449304,0.06461921577,0.09121767096,0.0002953030011,0.04405869869,0.1030047459,0.06861573314,0.1117967949,6.938893904e-17,3.441899913,0.2572627404,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,170.7688913,259.3841248,62.95673953,196.4527439,75.43191357,1.898807252,0.001630072387,1,0.2237713205,0.1747103162,0.2412543962,0.2150059465,0.06138757839,0.1045123318,0.1185467008,0.0005102870472,0.08206209264,0.2007142277,0.08755543938,0.1334123103,-6.938893904e-17,3.44674873,0.2490820899,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,173.0652322,306.6624089,66.78330406,240.180881,97.59960592,2.325584272,0.02055821974,1,0.1899826406,0.06079841247,0.2336723488,0.2954199939,0.07224710025,0.1589263721,0.1455831051,0.0006570675623,0.1392356155,0.2952348142,0.1067290355,0.1405406381,6.938893904e-17,3.160664175,0.2246183424,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,170.9899804,362.7869327,72.67803354,290.5110269,118.3725282,2.678282236,0.01515340795,1,0.1923813397,0.08826651443,0.2233196317,0.2136540642,0.08995113564,0.2096797798,0.1716624774,0.0007299002514,0.1937703149,0.3476205683,0.1294118364,0.154499971,-6.938893904e-17,3.11309592,0.211297522,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
7,166.6406356,415.2662658,80.84557113,334.7316033,144.0546286,3.223843746,0.01731563143,1,0.1976770969,0.1134468748,0.2203031877,0.2313270886,0.0974780657,0.2387843995,0.2166723714,0.0004345972503,0.2425495381,0.3661506569,0.1538882824,0.1735641429,6.938893904e-17,3.212511082,0.20017978,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
8,175.608866,479.3911505,80.43546341,399.394698,161.76516,3.950640891,0.01956909865,1,0.1648747411,0.0194077176,0.2045723612,0.2391423743,0.1161173777,0.2941084972,0.2501943114,0.0002196410801,0.2979505203,0.3574996413,0.1822277572,0.1715377974,-6.938893904e-17,3.40865886,0.172006156,0,0,0.01666666667,0,0.9846153846,0.0025,0.00125,0.005,0.0075
9,171.01621,541.6062807,79.42637956,462.4618194,189.5313789,4.622336885,0.004318805713,1,0.1415133791,-0.005927984193,0.1722688545,0.2224115778,0.1285533231,0.3174278502,0.4078597849,7.286088707e-05,0.3303502786,0.3537905028,0.2478095329,0.1700899804,6.938893904e-17,3.314944467,0.1532528053,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
10,174.2238482,556.4757619,79.01229272,477.845571,214.726425,4.85162217,0.01220583113,1,0.0578086141,-0.004964342838,0.06951744632,0.1362173125,0.1290985677,0.2983963217,0.3489588887,0,0.3510956804,0.3565636183,0.2270304981,0.1699864818,-6.938893904e-17,3.3611533,0.1487619874,0,0,0,0.01666666667,1,0.0025,0.00125,0.005,0.0075
11,174.6664885,579.3190436,78.74931435,500.8683143,221.4339104,5.0214391,0.02266760532,1,0.05894607008,0.0002894578761,0.06959111948,0.147429102,0.2725302369,0.2830256921,0.3046459692,0,0.3617085653,0.3574072208,0.2630924652,0.1692588663,6.938893904e-17,3.292005231,0.1451393185,0,0,0,0.01639344262,1,0.0025,0.00125,0.005,0.0075
12,175.5443354,572.6605762,80.47231256,492.6579635,232.4784728,5.198748385,0.0173678936,1,0.04349991515,0.02405511666,0.04709873637,0.1322668241,0.208640674,0.2723154139,0.3894108327,0,0.3583150885,0.3572969607,0.2681654063,0.1716690166,-6.938893904e-17,3.052576553,0.1479844443,0,0,0,0.01639344262,1,0.0025,0.00125,0.005,0.0075
13,172.2540184,576.9324297,80.73494782,496.7682161,255.3517316,5.370249158,0.02290581742,1,0.03171862164,0.006985794847,0.03680352201,0.1812963485,0.1768445303,0.2369606482,0.4079869185,0,0.3574711808,0.3554969101,0.2535970202,0.1724216903,6.938893904e-17,2.659435304,0.1516898524,0,0,0,0.03125,1,0.0025,0.00125,0.005,0.0075
14,176.6216276,623.3867312,82.47427126,542.1207044,268.6603252,5.856425294,0.02194707373,1,0.104435908,0.0439032788,0.1219477474,0.1633571233,0.3565066842,0.1947367033,0.3731179337,0,0.3576672979,0.3559009447,0.2801683131,0.1794493898,-6.938893904e-17,2.702463095,0.1447334548,0,0,0.01666666667,0.04761904762,0.9852941176,0.0025,0.00125,0.005,0.0075
15,170.3624564,677.2554183,85.77357643,596.3769798,288.5082125,6.447281843,0.004347694395,1,0.1508453936,0.08163867582,0.173763063,0.1240313881,0.396824373,0.165573756,0.3934213675,0.00405583919,0.3576125851,0.356704094,0.3386108214,0.1863903921,6.938893904e-17,2.835306918,0.1396947961,0,0,0,0.07575757576,1,0.0025,0.00125,0.005,0.0075
16,174.4815643,693.0792891,94.86777464,609.1186185,294.2942926,6.653649938,-0.0007443665463,1,0.06786060703,0.1426354753,0.07727694127,0.1056088925,0.4466978419,0.1354349899,0.3392168704,0.0108067617,0.3589729531,0.3573830018,0.3131688521,0.2089582713,-6.938893904e-17,2.951918657,0.1530322184,0.008291141109,4.918265788,0,0.1044776119,1,0.0025,0.00125,0.005,0.0075
17,173.3716979,720.7015838,103.0898861,637.55829,293.7919366,6.770509702,0.006104020108,1,0.06302816126,0.08666917178,0.06831558938,0.1240600446,0.4241221194,0.1354348259,0.4083632864,0.02748462044,0.3588137176,0.3580381319,0.3028395621,0.2308804621,0.0001034335998,2.983398997,0.1661114856,0,0,0,0.08823529412,1,0.0025,0.00125,0.005,0.0075
18,171.7976635,711.1355006,106.3415014,629.0100455,310.3678793,6.967075338,-0.00418278972,1,0.0345568705,0.05267525995,0.03859332602,0.1504362263,0.3179688872,0.1204020577,0.3543354387,0.05155369723,0.3599441225,0.3588838727,0.2701203605,0.2408330241,0.0001034335998,2.693323469,0.1734601348,0.009004770156,5.203003572,0,0.07352941176,1,0.0025,0.00125,0.005,0.007500206867
19,169.8365541,703.4704971,110.1240372,621.6874052,307.0499643,6.919082187,-0.0007905675952,1,0.0535132926,0.05931620602,0.0614247991,0.0458021207,0.2615201053,0.1127626739,0.2772129497,0.08461524004,0.3598711287,0.3594042203,0.2243517564,0.2513745885,0.0002776374354,2.819683133,0.19283411,0.009040334088,4.746421742,0,0.07352941176,1,0.0025,0.00125,0.005,0.00750039171
20,177.0473248,785.4065956,112.5829332,703.5310695,311.7315968,7.437124191,0.01145685218,1,0.1254107081,0.06611825108,0.1437505238,0.08684062837,0.2664996415,0.1475222817,0.2678411295,0.1158526703,0.3598976768,0.3593832912,0.2251440655,0.2570600149,0.0002776374354,3.025515103,0.1900319777,0.006753485289,3.664874806,0.01666666667,0.08695652174,0.9852941176,0.0025,0.00125,0.005,0.007500555409
21,174.0962683,784.2626117,116.0467386,701.0453751,301.2405611,7.628871707,0.008467024939,1,0.1470717506,0.04566491662,0.1711278336,0.08054164114,0.2604168554,0.1882012209,0.2432160207,0.1401646305,0.3591389794,0.3586294692,0.2179948596,0.2637261133,0.0002741294253,3.048714444,0.1865602743,0.01043622268,7.316265646,0,0.07462686567,1,0.0025,0.00125,0.005,0.007501051503
22,178.0627272,778.903929,122.4175879,697.3135582,307.8527589,7.788073252,0.023168679,1,0.07362897274,0.07187275423,0.07683863169,0.07274307068,0.2496263866,0.1806006339,0.2292733787,0.1563322846,0.3584306232,0.358330798,0.2033297551,0.2783698093,0.0002558750754,3.022342936,0.1900458769,0.01812092928,11.74241831,0,0.05970149254,1,0.0025,0.00125,0.005,0.007501463771
23,176.408331,818.5548257,125.7787916,733.7065859,310.7993528,7.949030074,0.0360700659,1,0.05378671646,0.04745691774,0.06283708451,0.08894917784,0.2875459181,0.204336439,0.2291056365,0.168893007,0.3584940881,0.358115614,0.2113193049,0.2853566732,0.0002525937351,3.089985714,0.1971546529,0.01083387599,7.42520143,0,0.1060606061,1,0.0025,0.00125,0.005,0.007501825851
24,180.3724027,823.5689956,127.4587204,726.7305908,320.3847142,8.151018259,0.0417104965,1,0.1085729191,0.04726731807,0.1251855171,0.1023733508,0.3596111392,0.2202398064,0.3938443749,0.188441342,0.3579513735,0.3580189089,0.285613339,0.2879336018,0.0002719698329,3.258857936,0.1993826775,0.0107299859,7.132853574,0,0.07142857143,1,0.0025,0.00125,0.005,0.007502145208
25,179.4469911,823.8148522,127.9688692,738.5535037,348.0913087,8.260444474,0.05311791525,1,0.08603196422,0.03317363855,0.1064602777,0.1516655732,0.4306373296,0.2375586247,0.2991046551,0.206293796,0.3584060314,0.3581940519,0.2950021415,0.2865394351,0.0004494856146,2.897262508,0.198108188,0.007520919342,4.28270036,0,0.07462686567,1,0.0025,0.00125,0.005,0.007502426197
26,185.7640336,888.7150654,127.9533717,803.9657526,360.1775098,8.962502921,0.0715471779,1,0.1389032697,0.02402649375,0.1626151484,0.1809274429,0.5060407434,0.2301101981,0.4188839408,0.2182119413,0.358511169,0.3577426974,0.3581742871,0.2796673504,0.0004494856146,2.989575594,0.1860855419,0,0,0.01587301587,0.07042253521,0.9857142857,0.0025,0.00125,0.005,0.007502672738
27,183.0562664,957.5999403,131.983079,873.7968274,360.1953577,9.526122709,0.0701991978,1,0.1530970543,0.03149356092,0.1837117016,0.1156075354,0.6013166502,0.2060504358,0.4785097486,0.2199627183,0.3579679947,0.3573425876,0.3813601056,0.2826458005,0.0004438887795,3.186314434,0.1708191094,0,0,0,0.09589041096,1,0.0025,0.00125,0.005,0.007502888355
28,189.1129581,998.5625867,133.9232275,900.2305529,357.332536,10.0108415,0.07737144254,1,0.1126498149,0.08402123573,0.1171843209,0.1376380175,0.5079184164,0.1919558375,0.5105496844,0.2187071264,0.3580467484,0.3578249116,0.3459568221,0.2878682226,0.0004383251188,3.201415926,0.1749115562,0,0,0,0.1232876712,1,0.0025,0.00125,0.005,0.007503076218
29,194.8656358,1010.001742,132.2381937,912.693442,377.51509,10.21722425,0.08627441235,1,0.09161696619,0.06665017602,0.1043231601,0.1074709988,0.5861566703,0.1668008339,0.4260707239,0.2186176969,0.357831094,0.3580982195,0.3708402624,0.2825835783,0.000432829117,3.128551148,0.1721848948,0,0,0,0.2361111111,1,0.0025,0.00125,0.005,0.007503239182
30,189.428151,990.7960281,131.1690782,902.9385645,395.8780043,10.06827008,0.0766812525,1,0.06882727933,0.05453459426,0.08072755674,0.1148138777,0.6129271186,0.1596816478,0.4820192849,0.2167407049,0.3585900015,0.3580191707,0.3977987379,0.2826958997,0.0004274001465,3.037229647,0.1735940692,0,0,0,0.2428571429,0.9864864865,0.0025,0.00125,0.005,0.007503599887
31,190.3670867,962.405023,132.3425452,863.4844892,386.3342529,9.924487602,0.06740568628,1,0.02749078178,0.06892473829,0.02575931663,0.04752128973,0.5189650483,0.1440391435,0.397525254,0.215256867,0.3580483297,0.3581257368,0.3421488717,0.2883992959,0.000422037377,2.972904438,0.1762261929,0.01001657176,7.62839432,0,0.1594202899,0.9855072464,0.0025,0.00125,0.005,0.007504089319
32,198.8429692,1020.390512,140.4811362,926.9269987,369.3574343,10.31613261,0.06031945308,1,0.1441989003,0.08846953812,0.1636113996,0.06395083849,0.5373096384,0.188570436,0.4737144605,0.2102519628,0.3584232219,0.3580702314,0.3991516333,0.3050246179,0.0004167399929,3.235421948,0.164636979,0.00618163211,4.77161135,0.01538461538,0.1891891892,0.9857142857,0.0025,0.00125,0.005,0.007504519147
33,193.4363492,1063.383659,143.5915684,966.3000977,376.507317,10.87421634,0.05089119933,1,0.1367225869,0.0604652207,0.1561825256,0.05637106085,0.5996898558,0.1975102079,0.416852315,0.2223298998,0.3580438449,0.3576084947,0.4487405887,0.3107912255,0.0004115071941,3.242159695,0.1636603586,0.01381620272,11.78637898,0,0.1594202899,0.9863013699,0.0025,0.00125,0.005,0.007504895463
34,196.8166634,1055.333562,149.8865936,962.943153,377.7567848,10.96753802,0.05356066065,1,0.1209715102,0.06815733158,0.143489408,0.05952590394,0.7381037068,0.2117692983,0.5020082621,0.2397191563,0.3578658867,0.3578717045,0.4858591526,0.3241275634,0.0005414103247,3.493784248,0.1586833634,0.0229733951,19.241722,0,0.2253521127,1,0.0025,0.00125,0.005,0.007505223746
35,203.3498981,1059.451917,155.3679502,965.7568994,376.3715661,10.79927581,0.06449431109,1,0.06680362672,0.05455811853,0.08214362987,0.08105772613,0.5964090985,0.2247432126,0.3999485072,0.2596703059,0.3586950737,0.3583471509,0.3973148421,0.335825267,0.0005371179329,3.323244817,0.1653362979,0.009425754164,8.713114417,0,0.1971830986,0.9710144928,0.0025,0.00125,0.005,0.007505508926
36,207.0526002,1069.548718,158.6109074,976.6425966,379.0936443,10.73446379,0.06584429283,1,0.05188944014,0.06620371973,0.05615525999,0.07931092201,0.5962665169,0.2184962326,0.3790140884,0.2828241337,0.3585422112,0.3582903229,0.3847194782,0.3444925655,0.0005304285796,3.298658304,0.1768828704,0.0119508422,9.614602018,0,0.1830985915,1,0.0025,0.00125,0.005,0.007505738761
37,210.105439,1064.802003,159.46882,973.1958539,392.520975,11.11945353,0.08265670511,1,0.05817723747,0.05755702932,0.06481850774,0.1343079923,0.439184443,0.1944250976,0.4138318644,0.3021655151,0.3589698395,0.3587201701,0.3410847884,0.3475771206,0.0004874632812,3.143738837,0.1802395334,0.01621999521,13.32380442,0,0.1621621622,0.975,0.0025,0.00125,0.005,0.007505925702
38,213.8013475,1186.970369,161.6037544,1085.14198,407.8192588,11.91903891,0.1020810373,1,0.1361552146,0.1115890212,0.1620975778,0.09295925555,0.7980815301,0.1890166244,0.4613553952,0.3202306112,0.3589612032,0.3583924477,0.5037110394,0.351410529,0.0004814720007,3.256571613,0.1781598495,0.008639916779,7.210192406,0.01470588235,0.2083333333,0.9875,0.0025,0.00125,0.005,0.007506115305
39,208.4701757,1212.532077,162.2249857,1105.263457,418.4757041,12.53485573,0.08346462803,1,0.1144330186,0.0662145628,0.1268717755,0.06135260358,0.9078386533,0.1853159193,0.5402516718,0.3339772438,0.3580061929,0.3577259109,0.6550998386,0.3499202921,0.0004753643379,3.271642849,0.1639528072,0.02199647024,20.95957907,0,0.32,0.9577464789,0.0025,0.00125,0.005,0.007506460591
40,213.7662091,1173.67014,168.9047696,1067.556811,434.6160069,11.86983585,0.05938776136,1,0.1602547427,0.1114674107,0.1769286746,0.06276485998,0.622621996,0.1872639631,0.4385891688,0.3411740956,0.3584065788,0.3582192238,0.4805780393,0.358793012,0.0004693308584,3.375757469,0.1677120266,0.01401299206,14.25300249,0.01282051282,0.1842105263,0.9605263158,0.0025,0.00125,0.005,0.007506759208
41,214.9045015,1154.269834,169.8604565,1056.323598,455.9738303,12.10569965,0.04113131182,1,0.06361167906,0.08532290347,0.07146706293,0.05952970855,0.7189673641,0.1723085401,0.359307593,0.3480265968,0.3583568389,0.3585734979,0.4411992319,0.3564283888,0.0004448613466,3.356274623,0.1689111053,0.01289240685,11.72438648,0.01282051282,0.3108108108,0.961038961,0.0025,0.00125,0.005,0.007506995771
42,212.5000642,1119.574035,166.8743131,1021.977021,479.7908772,11.51357034,0.03166034576,1,0.05274515368,0.04732025509,0.05900125172,0.09397065468,0.6751641703,0.1647384684,0.3834380211,0.352529848,0.3590381523,0.3587856259,0.4122351614,0.3489032025,0.0004391047361,3.293879605,0.1734214552,0.01013439243,9.303103881,0,0.2048192771,0.9868421053,0.0025,0.00125,0.005,0.007507180141
43,212.1666115,1092.947911,166.2106985,984.7129913,476.3119848,11.51463091,0.03576618673,1,0.04997891336,0.06292112675,0.05604716012,0.0468681863,0.5678337436,0.1584239643,0.3479394643,0.3515244439,0.3597658707,0.3596689722,0.4211799098,0.346885904,0.001837554799,3.218788366,0.1755719419,0.008900223461,7.31242075,0.01315789474,0.2278481013,0.9868421053,0.0025,0.00125,0.005,0.00750823671
44,213.6671607,1138.265762,168.1516739,1038.441813,468.8103567,11.81556691,0.04308615524,1,0.09576679787,0.06966672177,0.1054652787,0.04358758036,0.6021459214,0.1942763623,0.3074619415,0.3500123701,0.3603891867,0.3598332427,0.3652279666,0.3471539288,0.001827198418,3.295068442,0.1703969335,0.01668789817,15.29811756,0.02631578947,0.25,0.9487179487,0.0025,0.00125,0.005,0.007511077777
45,213.9072369,1132.764831,164.1436808,1040.320217,483.4034915,11.82195685,0.04721546534,1,0.119958126,0.05045744476,0.1335276725,0.04438906447,0.5383424832,0.228268952,0.315106063,0.3447951305,0.3600729301,0.3597003703,0.3955554308,0.3345107922,0.001805897552,3.426651773,0.1571958447,0.02131750697,18.51745032,0,0.28,0.9358974359,0.0025,0.00125,0.005,0.007513603032
46,220.6476202,1152.338365,170.7307543,1057.574594,488.2845446,11.65697295,0.06273491194,1,0.05325705723,0.05356956597,0.0580229764,0.06174517147,0.5060304009,0.2437439834,0.311493857,0.3346261113,0.3596548874,0.3595881492,0.3453498354,0.3364984506,0.001784770113,3.419546975,0.1615857353,0.01355088463,12.26640253,0,0.2125,0.9480519481,0.0025,0.00125,0.005,0.007515833335
47,220.1231572,1283.42841,170.3464516,1175.972814,496.6023657,13.20455795,0.06746009679,1,0.1220416857,0.05462099707,0.1354926616,0.0654660134,0.5866284726,0.2511535358,0.3167334868,0.3282158008,0.3595282131,0.3594554434,0.3786098429,0.3357850549,0.00176387777,3.405861813,0.1605344135,0.02515361538,21.88711028,0,0.2763157895,0.9420289855,0.0025,0.00125,0.005,0.007517798588
48,226.8160843,1283.712449,175.3779835,1171.114632,519.269831,12.05642242,0.06345760081,1,0.07778085743,0.05068284437,0.08644077346,0.04564510128,0.5743841486,0.2433722182,0.3750681696,0.3229848255,0.358894278,0.3587480969,0.4071705728,0.3434973743,0.00197302481,3.344354882,0.1738010058,0.02167477393,19.65527102,0,0.2151898734,0.9452054795,0.0025,0.00125,0.005,0.007519525763
49,222.8902916,1273.10566,174.3816548,1158.06064,545.8287683,13.07921523,0.06474626615,1,0.04384114932,0.04253932327,0.05388552479,0.08235718145,0.6203957648,0.2415334157,0.4560795234,0.3207481329,0.3586656469,0.358369343,0.3938504269,0.34511331,0.001848765279,3.25248698,0.180025197,0.008438516908,7.640933233,0,0.3157894737,0.9571428571,0.0025,0.00125,0.005,0.007521039132
50,225.6291437,1279.937139,175.4802891,1162.766164,578.0313982,13.15576233,0.06957081716,1,0.1013798215,0.04788095996,0.1104852253,0.07571149435,0.602150889,0.2351253056,0.4243649434,0.3249749597,0.3585324145,0.3582394017,0.3884046737,0.3467314055,0.001826766205,3.459383443,0.1698566193,0.01891605502,18.91307814,0.01388888889,0.2222222222,0.9726027397,0.0025,0.00125,0.005,0.007522360529
51,222.7895986,1301.801288,175.4559751,1186.409163,592.6805241,12.73999282,0.05890796457,1,0.1288077345,0.05614647768,0.1377070696,0.06198440125,0.6487377086,0.2384375596,0.4272181905,0.3300809735,0.3579563479,0.3577651627,0.4405933394,0.3473738014,0.001804906096,3.653726949,0.1648728819,0.01562652913,16.2605517,0.01176470588,0.2988505747,0.9452054795,0.0025,0.00125,0.005,0.007523509603
52,226.9724684,1286.538989,182.002529,1170.934361,601.3601617,13.32630838,0.05328893706,1,0.04920225459,0.07473820837,0.05661663956,0.06985244656,0.588261367,0.2220174559,0.485482798,0.3352613668,0.3576600294,0.3576576726,0.4114608238,0.361475372,0.001783299373,3.509584157,0.1774698202,0.009311481984,8.997230193,0,0.3253012048,0.9178082192,0.0025,0.00125,0.005,0.007524504031
53,232.3513108,1272.709712,180.6061031,1154.012765,622.9063445,13.2402737,0.05098495556,1,0.04971271586,0.05758943623,0.05607870003,0.09228555688,0.6092462732,0.2226007375,0.4534061127,0.3437391435,0.3579461588,0.3578564691,0.425095844,0.3599510805,0.001761944175,3.486571955,0.1862813298,0.01039941883,9.931301099,0,0.3209876543,0.9178082192,0.0025,0.00125,0.005,0.007525359716
54,222.4760879,1284.553197,178.710867,1165.863862,637.2163189,12.93482409,0.04304059403,1,0.06214628113,0.03046471383,0.06720249342,0.0703596627,0.5980764058,0.2088954295,0.3873450167,0.3505967435,0.3586235438,0.3584150868,0.4546478796,0.3620259687,0.001740836933,3.643504337,0.1932472071,0.01517572161,17.69282541,0,0.2911392405,0.9189189189,0.0025,0.00125,0.005,0.007526090968
55,221.0262883,1339.260249,177.2687963,1218.569978,638.5872023,12.72857751,0.04244574926,1,0.1254641843,0.05873636757,0.1379982636,0.08571036848,0.6738893384,0.1960894181,0.4216601998,0.3557036235,0.3589468974,0.3584993062,0.4067465661,0.3587465528,0.001719974207,3.325657666,0.1934240552,0.01563150753,14.05373424,0,0.2637362637,0.9589041096,0.0025,0.00125,0.005,0.007526710659
56,226.0362951,1395.311644,175.0390854,1277.171,651.5869399,14.15053644,0.03616575048,1,0.1079428654,0.08186379605,0.1167985948,0.0794401285,0.8176631529,0.2561398938,0.4057312338,0.3607841557,0.3589083319,0.3585879494,0.5357827489,0.3566438308,0.00169935269,3.520205323,0.1802153896,0.01030960266,11.58065465,0.01388888889,0.2804878049,0.9473684211,0.0025,0.00125,0.005,0.007527230371
57,225.8814578,1376.248997,173.4857137,1255.16741,652.7869916,14.21518835,0.03398697665,1,0.1970003206,0.06362514205,0.2175307615,0.07340359582,0.6060426328,0.2402649237,0.4337790855,0.3594283642,0.3590714925,0.3588969796,0.4777363706,0.3586203834,0.001678969197,3.640790867,0.1703912331,0.01425703509,15.81978365,0,0.2592592593,0.904109589,0.0025,0.00125,0.005,0.00752766052
58,227.2223914,1328.346859,178.7793681,1209.181127,660.4533373,13.70745913,0.03007228531,1,0.07731894075,0.06319456118,0.08481604145,0.07010313563,0.8673109833,0.2377491653,0.33984754,0.3590658087,0.3594079777,0.3593036096,0.4977272697,0.3579881483,0.001658820651,3.661269934,0.1756526471,0.01573658962,16.22587505,0.01333333333,0.2894736842,0.8947368421,0.0025,0.00125,0.005,0.007528010479
59,229.0001987,1318.893108,182.2192138,1211.493304,679.187594,13.71124246,0.03500691601,1,0.1557384688,0.1225533677,0.1718526249,0.06247511944,0.9910828159,0.2393801893,0.3977894727,0.3575592951,0.3592670516,0.3589349767,0.563593979,0.3587181665,0.001638904077,3.544252828,0.1805183703,0.0148079124,14.38538592,0.01204819277,0.3012048193,0.8780487805,0.0025,0.00125,0.005,0.007528288677
60,231.9506545,1315.007999,185.0236035,1217.966797,691.4665473,13.61713287,0.0276925549,1,0.1576307592,0.0845687609,0.1719891063,0.04991445964,0.7939042709,0.265845235,0.486371288,0.3578117343,0.3594287831,0.3591714961,0.5008980785,0.3572558594,0.00161921659,3.503862789,0.1819730042,0.01924673072,19.37693669,0.01282051282,0.375,0.9358974359,0.0025,0.00125,0.005,0.007528502698
61,229.1212535,1291.124174,185.0203617,1180.612976,707.3273342,13.58729202,0.03545681794,1,0.05353859306,0.0944095893,0.06192984089,0.07527835474,0.5977985789,0.2452074501,0.4713381413,0.3581749072,0.3588965566,0.358806664,0.4351850332,0.3586396408,0.001599755386,3.554497374,0.188739857,0.01473029905,16.69396213,0.0253164557,0.2857142857,0.8987341772,0.0025,0.00125,0.005,0.00752865936
