t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,168.7183216,122.9819385,5.130117206,36.16153586,10.85735095,11.25823757,1.551954628,663.6,22.26517538,3.75,48.40319215,97.84689224,1.066123599,1.5,223.6918186,11.14449499,-0.00369732991,-3.330669074e-16,-0.001341192735,0.1,3.929826092e-16,0.3400170952,-0.181697665,-0.7255918939,-0.0125,-0.1628014004,0.08237247302,0.070189972,0.005900597404,7.401486831e-16,0.008068552123,0.04569063381,0.3312094697,0.6719035527,0.8317568611,0.07294031367,0.7310403058,0.03049490434,0.2149546555,0.009199149316,0.1323506591,3.944630835
3,171.2793355,123.1399486,15.47017199,36.70937436,14.00725577,12.97129006,0.7481637357,662.2837019,17.85508884,3.694190972,49.53287086,98.23466659,1.072462207,1.523270748,219.467905,11.26724659,0.001042928026,2.220446049e-16,0.001284823657,2.015559171,0.01514975759,0.4070983268,0.166979505,1.799700424,-0.001983571648,-0.1970222309,0.005952505562,0.03659833561,0.003978104211,0.01551383174,-0.01885820219,0.0230802229,0.3355621093,0.6662457227,0.8293904591,0.07479366913,0.7255807913,0.09041151635,0.2163073685,0.004375431995,0.1052105936,3.902459446
4,174.6293643,119.8171997,27.19006488,37.81075791,16.01407693,13.85672334,2.799921653,645.3872854,16.16322606,3.694234204,44.48851463,106.7920302,1.068293981,1.500329751,224.7294779,10.80628247,0.01089820252,-0.01391536385,-0.02634338773,0.831296342,0.0300393271,0.15585227,0.09463120893,6.583789269,-0.02550534285,-0.07034839815,-0.002818528378,-0.09576875467,0.09042925709,-0.0150341218,0.02976833679,0,0.2955489653,0.7136696062,0.8665837381,0.06900977253,0.6920709563,0.1558420773,0.2183235597,0.01614015834,0.09315582274,3.727943743
5,177.8327019,121.5918549,29.31895295,38.04062434,11.90115139,14.28277039,8.8583245,642.9378604,12.29285614,3.672580003,46.63165393,106.6618414,1.07594561,1.508862355,221.9345184,10.73959743,0.03525592401,-0.01458278141,0.0154847816,0.1767407842,0.006204988733,-0.04114342797,0.03175428759,35.73027581,-0.003735588946,-0.2045595938,0.01653706079,0.06745086488,0.004807178273,0.005691726286,-0.002393411836,0,0.3062637451,0.7079015849,0.8997874712,0.0728590455,0.6950512163,0.1666082729,0.2178238942,0.05022065392,0.07039867649,3.670994816
6,176.3891674,123.4816739,30.38886288,38.351062,19.58312478,13.51197674,3.199333248,631.9094341,11.11709038,3.643441954,43.06225974,108.4970838,1.089825186,1.511825248,225.0066351,10.36895339,0.04604199291,-0.01921295303,0.01792980552,0.04154820354,0.008273046447,1.935282669,-0.01626313793,-0.3201336612,-0.01669890881,0.004972858569,0.01342666774,-0.04834544707,0.01845869772,0.002157273029,0.01617575724,0,0.2860350032,0.7312358831,0.929372077,0.06857857888,0.7193962338,0.1743455206,0.222387615,0.01821649101,0.06432261876,3.661038968
7,166.5718539,124.5101404,31.40056911,38.63268302,29.97458975,12.80732582,-12.14068331,638.667639,16.41928055,3.617363654,33.28861621,109.1653512,1.093665512,1.510895003,225.0138501,10.48025985,0.03361049797,-0.02647111275,0.008328900312,0.0469137008,0.007737329476,1.636749913,-0.03939840917,647.1028265,0.01429351686,0.7288995511,0.00603475325,-0.1874642326,0.009866931482,-0.0005112797086,0.004806330823,0,0.2344840441,0.7788141857,0.9397205165,0.05231683799,0.7613243505,0.1888849369,0.2376578471,-0.07303027512,0.1013353634,3.910381212
8,176.7494759,123.4569449,31.9235524,37.97946816,14.24857375,13.95063287,4.908542909,668.9999509,14.568873,3.627071932,37.41390524,113.5898642,1.087031518,1.497092329,232.3894232,10.78020911,0.02604785236,-0.01840525865,-0.004716950722,0.07461095458,-0.007388355634,-0.467660472,0.1030831876,-0.9171025059,0.04973105901,-0.01947361537,-0.001404869698,0.1360745816,0.04271618247,-0.008748055091,0.03740506077,0,0.2483591748,0.7675083117,0.9346880033,0.05619914699,0.7356286806,0.1854982097,0.2231877825,0.02851773926,0.08604359151,3.883929117
9,167.5117154,123.8725583,33.57541325,37.85475519,18.69195432,13.98875206,3.85976003,692.8277361,15.81036149,3.643192681,30.57107529,111.8469049,1.084789822,1.497789016,226.6514725,11.45344731,-0.007138511763,-0.01688508149,0.003366464252,0.07602973318,-0.002416829539,0.7878209679,0.0104572773,9.94970154,0.0652059892,0.1616830381,0.003138774719,-0.1045428549,0.008726557775,0.0006179057431,0.01927216114,0,0.2166217809,0.8028373467,0.8877029967,0.04523645678,0.7593194737,0.2004362093,0.2332200352,0.02304173186,0.09857898993,4.304349471
10,165.5754881,121.9173139,32.9179278,37.84711748,14.41689371,14.16730777,8.200175772,724.5933993,17.83749232,3.649965149,28.41287671,112.5465885,1.088396033,1.501993123,229.7968358,11.93959243,-0.03119622398,-0.00839489758,-0.01267634709,0.0124340936,0.0003907932521,0.01102916554,0.06092317907,71.25998949,0.04859323296,0.2311290688,0.006777296951,-0.001713687522,0.01462645533,0.003089024058,0.02513844583,0.01556333579,0.2046350134,0.8210860043,0.8648709126,0.04008381445,0.7557314505,0.1998540932,0.2361283701,0.05134865468,0.1116965367,4.53275507
