t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,30.55289563,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,0.7790258976,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,168.7183216,280.638748,39.65379082,240.9849572,80.71025213,2.067285135,-0.00369732991,1,13.6792895,1.074159321,0,2.032234427,0.09674031277,0.01968529975,0.09617446044,0,0.01420294487,0.03398473862,0.09508869154,0.08324075359,-6.938893904e-17,6.056490487,0.1572604637,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,171.2793355,430.9644299,56.179675,374.7920264,117.3919136,3.111400443,0.001042928026,1,0.619822942,0.4167542079,0.6597162039,0.7218427526,0.1543519182,0.08121049159,0.1651611216,0.0002953030011,0.04405869869,0.1030047459,0.1534879071,0.1177771002,6.938893904e-17,6.19068322,0.1395892982,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,174.6293643,492.960087,61.76139118,431.731704,153.0059022,3.856914406,0.01089820252,1,0.1883174894,0.10800005,0.2030927458,0.6200577484,0.1679732528,0.1381173772,0.3365441159,0.0005150970172,0.08582882382,0.2024957772,0.228524245,0.131346667,-6.938893904e-17,5.707984357,0.1355649243,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,177.8327019,563.5915823,64.2819253,500.1039723,181.4781627,4.476831311,0.03525592401,1,0.1658170059,0.04528474046,0.1852858802,0.5013400413,0.1865063657,0.1865780747,0.3236759907,0.0006606599609,0.1405256213,0.2958373369,0.2374059789,0.1356414224,6.938893904e-17,4.932491277,0.1215840718,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,176.3891674,656.3897571,69.502735,588.9380795,203.70654,5.064527893,0.04604199291,1,0.190562899,0.08858064289,0.2061160168,0.2323237648,0.2201243019,0.2271421774,0.4323617908,0.0007321045065,0.1900052372,0.3478220248,0.3009715459,0.146588269,-6.938893904e-17,4.67595638,0.115587704,0,0,0,0.01639344262,1,0.0025,0.00125,0.005,0.0075
7,166.5718539,695.5455951,78.76235592,618.878886,222.9230658,5.600155997,0.03361049797,1,0.1187644648,0.1421236011,0.1205687535,0.1528673582,0.2237648612,0.252214799,0.4076773682,0.0004368015054,0.2308988381,0.3656537362,0.2923240895,0.1672958946,6.938893904e-17,4.536269774,0.1182929278,0,0,0,0.01639344262,1,0.0025,0.00125,0.005,0.0075
8,176.7494759,714.2511544,85.90592219,629.7210122,228.8004074,6.040369855,0.02604785236,1,0.06646661812,0.1599887758,0.06148288232,0.164313022,0.2225768406,0.2976776505,0.3656162418,0.0002178152077,0.2766595979,0.3551147094,0.2809375446,0.1806882561,-6.938893904e-17,4.224535364,0.123917455,0,0,0.01666666667,0.03225806452,0.9846153846,0.0025,0.00125,0.005,0.0075
9,167.5117154,757.9204628,83.27156319,676.5301746,242.6802964,6.725550353,-0.007138511763,1,0.09990746223,-0.008476289842,0.120300033,0.1728720369,0.5155037566,0.320141512,0.4343304109,7.167458784e-05,0.3153209053,0.3532667279,0.4071019017,0.1814077885,6.938893904e-17,4.040849202,0.1151444105,0,0,0,0.09677419355,0.9848484848,0.0025,0.00125,0.005,0.0075
10,165.5754881,758.0798695,93.26894101,669.7440957,238.2613782,6.841815831,-0.03119622398,1,0.01743075051,0.1516108086,0.01182810911,0.05245014073,0.4004046788,0.2836858334,0.3575562568,0.00330286831,0.3424446734,0.357330988,0.3262070112,0.205028318,-6.938893904e-17,4.229559292,0.1265084113,0.02029355259,12.79300904,0.01666666667,0.1129032258,0.9841269841,0.0025,0.00125,0.005,0.0075
