t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,18.73064508,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,1.020680609,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,170.9858972,116.076927,39.65379082,76.42313615,37.30970731,0.720870236,-0.0003151961216,1,5.071602112,1.074159321,0,0.9919072278,0.0235048543,0.005742933388,0.04555775075,0,0.01420294487,0.03398473862,0.03271616715,0.08276661594,-6.938893904e-17,3.110058857,0.3373460113,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,165.722319,208.3530356,53.59341675,154.7515627,62.04646457,1.380649983,-0.003100956866,1,0.7869650063,0.3515332493,1.011022166,0.6630112922,0.05236411566,0.01586918526,0.09070238798,0.0002953030011,0.04405869869,0.1030047459,0.06734177231,0.1117353482,6.938893904e-17,3.354460723,0.2509857241,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,170.2272062,252.7508005,62.86904989,189.7951029,75.18442856,1.844130507,0.0008321024748,1,0.1968950111,0.1725805731,0.2046083563,0.2106864381,0.06109051923,0.04303360193,0.117767458,0.0005102452495,0.08202881354,0.2006987704,0.08463486651,0.13318493,-6.938893904e-17,3.361743985,0.2426184753,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,171.8780462,297.3190139,66.35359257,230.5357098,96.62953297,2.246897142,0.01806202334,1,0.1623875371,0.05478869966,0.1969842384,0.285179184,0.0716217789,0.07434491759,0.1447006284,0.0006569559869,0.1390862326,0.2952264171,0.1022673162,0.139563053,6.938893904e-17,3.068395257,0.2167906009,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,168.9906623,341.2908566,71.54876074,269.3147995,115.8824584,2.589988958,0.0099447049,1,0.1262356186,0.07819457179,0.1375952015,0.1992447326,0.08007578426,0.1177711241,0.1619601075,0.0007295796452,0.1928899123,0.3475734162,0.1185170512,0.151708439,-6.938893904e-17,2.908985153,0.198681419,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
7,164.9091769,402.8259987,78.90411463,322.7859126,127.1696114,3.123779192,0.01222321931,1,0.1369004413,0.1019451775,0.1436359177,0.09551158314,0.09554699645,0.1350757115,0.2059127456,0.0004342766441,0.2394787127,0.3659775083,0.1429634254,0.1686989194,6.938893904e-17,2.820137458,0.1929453336,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
8,173.250809,464.1268483,79.34621345,384.7806348,139.0827623,3.833968711,0.01297556332,1,0.1392174588,-0.01854594708,0.1750837281,0.06763923434,0.1121994146,0.1744204724,0.2382356629,0.0002193126287,0.2910338332,0.3572036758,0.1709234146,0.1702264506,-6.938893904e-17,2.917387833,0.166456492,0,0,0.01538461538,0,0.9833333333,0.0025,0.00125,0.005,0.0075
9,168.95313,514.324178,78.8216231,435.5025549,157.7636051,4.372962534,-0.004200300061,1,0.09803462418,-0.01283258209,0.1194769753,0.09234490835,0.1232474919,0.1787960468,0.2596908192,7.258899963e-05,0.3247292745,0.3534321891,0.1855399002,0.1695191306,6.938893904e-17,2.760018983,0.1461291424,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
10,168.5914661,527.9775947,78.18185375,449.4345984,161.1080739,4.592688006,-0.004104135219,1,0.01438782349,-0.008709000301,0.01833129851,0.01715621535,0.1182945464,0.1769218733,0.2561314541,0,0.3462216685,0.356125416,0.1837630961,0.1691939343,-6.938893904e-17,2.489723986,0.1413002979,0,0,0,0,0.9833333333,0.0025,0.00125,0.005,0.0075
11,167.9428273,538.0780194,77.95593714,460.0050171,166.3954147,4.77850546,0.002236598362,1,0.008430192789,-0.005808139155,0.01028344295,0.004393971984,0.1308296333,0.1730094797,0.2460741903,0,0.3592784889,0.3568574985,0.1861625305,0.1677278413,6.938893904e-17,2.505442961,0.1365800457,0,0,0,0,0.9836065574,0.0025,0.00125,0.005,0.0075
12,169.5078739,538.3542554,79.00539337,458.6862001,176.3606075,4.877987834,-0.008304179222,1,-0.02371790481,0.01222768146,-0.02974874886,-0.0001049101987,0.1227675426,0.170739605,0.230700843,0,0.3562494687,0.3562432746,0.1768291076,0.1703003305,-6.938893904e-17,2.392204252,0.139280985,0,0,0,0,0.9836065574,0.0025,0.00125,0.005,0.0075
13,163.0150754,524.5327775,78.96822936,444.9664779,197.2678794,4.869593224,-0.01250071067,1,-0.04233876287,-0.004935981495,-0.04892399148,0.01360488789,0.1261564892,0.1569232969,0.1994249691,0,0.3563004321,0.3545653795,0.1636795016,0.1708713731,6.938893904e-17,2.103404367,0.1389490509,0,0,0,0,0.96875,0.0025,0.00125,0.005,0.0075
14,164.5860004,550.4575408,78.75850765,471.6990331,209.896367,5.231630736,-0.01934838646,1,0.01762648631,-0.005184187291,0.02119773023,-0.01308593874,0.132042203,0.1288147161,0.1937651571,0,0.3561698423,0.3545892187,0.1650542626,0.1690675592,-6.938893904e-17,2.107190518,0.1302937623,0,0,0.01351351351,0,0.9253731343,0.0025,0.00125,0.005,0.0075
15,160.6489839,575.739516,78.91872616,496.6537181,224.6468283,5.536770441,-0.03813330723,1,0.02611260082,-4.711043278e-05,0.02961408579,-0.03835767683,0.1386598056,0.09817128431,0.2053116934,0,0.355497662,0.3546019021,0.1704833775,0.1701344018,6.938893904e-17,2.242432184,0.1222317677,0,0,0,0,0.9253731343,0.0025,0.00125,0.005,0.0075
16,158.6236671,589.8349121,80.19264841,501.9701338,222.5893891,1.187990734,-0.04857368571,1,-0.03262413136,-0.001418273426,-0.05517690247,-0.03941649257,0.1430783078,0.094060941,0.2029162112,0,0.3565011016,0.3552639077,0.1718039928,0.1719972036,-6.938893904e-17,2.163579142,0.1231226212,0,0,0,0,0.8970588235,0.0025,0.00125,0.005,0.0075
17,160.1337118,591.907622,80.51619475,493.5849676,225.5386089,5.697946843,-0.04554579856,1,-0.04966267289,-0.00853227414,-0.0636749199,-0.05831235602,0.1303842673,0.08284108764,0.2015116414,0,0.3566341914,0.3559901103,0.169169522,0.1717091173,6.938893904e-17,2.132719669,0.1206435618,0,0,0,0,0.9117647059,0.0025,0.00125,0.005,0.0075
18,158.6062053,591.0951202,80.78665518,490.1864827,238.5047427,0.8833610258,-0.04793264594,1,-0.06787542516,-0.008068260188,-0.0782709219,-0.05788751135,0.1344015933,0.06894995886,0.1806056022,0,0.3572427392,0.3562829143,0.1582508059,0.1714004307,-6.938893904e-17,2.015132561,0.1248117711,0,0,0,0,0.9264705882,0.0025,0.00125,0.005,0.0075
19,153.6172587,554.5159769,80.50197061,451.7510488,240.5483877,0.8950498525,-0.04216260246,1,-0.08261235891,-0.01006117756,-0.1072269374,-0.06270889058,0.1441187998,0.06476074018,0.1574315024,0,0.3574029615,0.3569954555,0.1473653791,0.1721894046,6.938893904e-17,1.934437607,0.1279225678,0,0,0,0,0.9264705882,0.0025,0.00125,0.005,0.0075
20,154.3935119,560.4705322,80.09232944,456.7457938,228.5086298,2.026231395,-0.03922674441,1,-0.01119833299,-0.01685192809,-0.01950117854,-0.09240857816,0.1451539386,0.05525815012,0.1390451155,0,0.3579116102,0.3573441692,0.1445405295,0.1703096409,-6.938893904e-17,1.993989583,0.1222402517,0,0,0.01388888889,0,0.9014084507,0.0025,0.00125,0.005,0.0075
21,153.9250356,578.0308834,80.45342024,467.7742046,231.943174,-0.6785415291,-0.04603531528,1,-0.03855271173,-0.03006729963,-0.04943198931,-0.05988984134,0.1389452358,0.04600242611,0.1446700647,0,0.3569114881,0.3565515625,0.1449524386,0.1712504349,6.938893904e-17,1.985651022,0.1217204686,0,0,0,0,0.9402985075,0.0025,0.00125,0.005,0.0075
22,152.5640644,592.0643047,80.61608861,465.5762839,238.3291487,-5.440507092,-0.04430962996,1,-0.03302009489,0.001885597563,-0.05138651009,-0.0567103066,0.1458311619,0.03593646442,0.139777908,0,0.3558427595,0.3560649941,0.1444939056,0.1725241405,-6.938893904e-17,1.873167814,0.1234159055,0,0,0,0,0.9402985075,0.0025,0.00125,0.005,0.0075
23,152.6310254,586.3783523,80.41552747,467.6013952,241.4867674,2.051449183,-0.03414175324,1,-0.05549420269,-0.005157235333,-0.07480580946,-0.0520397189,0.1351808148,0.03306240007,0.1391540371,0,0.3558644179,0.3557838494,0.1421900339,0.1716591122,6.938893904e-17,1.926225776,0.1220720624,0,0,0,0,0.9393939394,0.0025,0.00125,0.005,0.0075
24,150.8611418,561.9422308,83.10688652,420.1207513,251.3242405,-0.7405066615,-0.02794107141,1,-0.09132401509,0.003541438823,-0.11708527,-0.05141600595,0.1296281674,0.02478217356,0.1334717853,0,0.3557334693,0.3558443219,0.1331123042,0.1778891075,-6.938893904e-17,1.777128905,0.1213421043,0,0,0,0,0.9393939394,0.0025,0.00125,0.005,0.0075
25,149.6495499,542.4243585,87.0093963,393.3147404,251.5447704,2.086518059,-0.02390850209,1,-0.08174132782,-0.02162855306,-0.1031170901,-0.08929248136,0.1354614962,0.0167526891,0.1122122085,0.00281911812,0.3558752268,0.3562413073,0.1233550484,0.1838217782,6.938893904e-17,1.726998908,0.1158211091,0,0,0,0,0.9552238806,0.0025,0.00125,0.005,0.0075
26,154.1488422,547.458583,84.9741641,397.1424201,249.5084953,5.209294281,-0.01412050773,1,-0.04127174946,-0.02339094726,-0.064679035,-0.07284223047,0.1487306856,0.01048118469,0.1016033272,0.009868661373,0.3558612746,0.3557806301,0.1232843709,0.1778231549,-6.938893904e-17,1.822734673,0.1116290969,0,0,0.01351351351,0,0.9275362319,0.0025,0.00125,0.005,0.0075
27,151.9208667,578.8985192,84.93841791,457.790948,264.3769876,5.631088996,-0.01612746007,1,-0.07023860705,-0.04099925511,-0.08561188067,-0.07374664296,0.1547295632,0.006404073079,0.1030061681,0.01651420973,0.3551984067,0.3551291545,0.1389019587,0.1747668846,6.938893904e-17,1.784899198,0.1062252247,0,0,0,0,0.9166666667,0.0025,0.00125,0.005,0.0075
28,153.4763584,561.6240569,87.29948851,419.9507576,262.9152089,5.325269431,-0.02183863231,1,-0.0553728971,0.003377131696,-0.08265823199,-0.08101204308,0.1540011369,0.003550343717,0.09727839498,0.01582203147,0.3544431278,0.3547011348,0.1279446905,0.1808883399,-6.938893904e-17,1.849123741,0.1080432829,0,0,0,0,0.9295774648,0.0025,0.00125,0.005,0.0075
29,154.3254196,585.7449522,88.83869102,441.8217409,267.0875194,5.589259198,-0.01821768115,1,-0.05859335624,-0.05562393823,-0.07157715821,-0.0573184377,0.1534790172,0.001341588875,0.1148171819,0.01482661275,0.3547941876,0.3545805626,0.1364479376,0.1884243477,6.938893904e-17,1.890296129,0.1138198257,0,0,0,0,0.8805970149,0.0025,0.00125,0.005,0.0075
30,156.2639078,583.4300766,86.74472485,433.1212712,281.6407586,5.479034291,-0.02732171845,1,-0.09559157247,-0.07397850672,-0.1170094182,-0.05265422125,0.1507001254,0.0004209659681,0.1051654907,0.01939488656,0.3541056089,0.3541311092,0.1371353037,0.1824020429,-6.938893904e-17,1.791720913,0.1136601198,0,0,0,0,0.9178082192,0.0025,0.00125,0.005,0.0075
31,153.3828457,573.4016866,85.13519783,435.6572156,266.2938034,4.261129439,-0.02069372378,1,-0.08733373025,-0.04954543172,-0.1132837158,-0.1212765638,0.1597809689,0.0003100969756,0.1020442562,0.02547995797,0.3534275032,0.353437281,0.1316178804,0.1783927678,6.938893904e-17,1.760178047,0.1165401907,0,0,0,0,0.8918918919,0.0025,0.00125,0.005,0.0075
32,160.3443703,597.7168526,83.48596517,458.008591,278.1421968,2.31063974,-0.01318626214,1,-0.03781625359,-0.06975215838,-0.04901014502,-0.1082586164,0.1760090362,0.0002030949838,0.09371354145,0.02603790441,0.3542552742,0.3539553743,0.1376111475,0.1714010105,-6.938893904e-17,1.860011833,0.1110633674,0,0,0.01282051282,0,0.8783783784,0.0025,0.00125,0.005,0.0075
33,154.1576633,639.3158161,85.13772515,496.1914744,284.7024789,6.201806573,-0.02012856252,1,-0.05728682314,-0.09315847967,-0.07423350962,-0.0777608907,0.2099141718,9.61334053e-05,0.08157151404,0.01853029497,0.3538414225,0.3537418748,0.1562147703,0.1710902418,6.938893904e-17,1.76115541,0.1062279734,0,0,0,0,0.8970588235,0.0025,0.00125,0.005,0.0075
34,156.7385751,640.6871463,85.63276589,498.1807401,295.6250851,-2.295855771,-0.02088695922,1,-0.05872596607,-0.07401383289,-0.08289296036,-0.05729928092,0.2088791954,1.951126689e-19,0.0836711471,0.009965408845,0.3531274738,0.3532455152,0.156906601,0.1727580945,-6.938893904e-17,1.825092781,0.1051809103,0,0,0,0,0.875,0.0025,0.00125,0.005,0.0075
35,155.4503071,654.3463433,85.20635541,516.963285,299.1040878,-0.06462487396,-0.01834266623,1,-0.03414688645,-0.03872544005,-0.04736247794,-0.05332671874,0.2021171599,0.0002605260298,0.09200900931,0.004343411412,0.3534930581,0.3534708087,0.1495007592,0.1699417737,6.938893904e-17,1.812813829,0.102545712,0,0,0,0,0.8684210526,0.0025,0.00125,0.005,0.0075
36,157.2769435,643.3874968,84.95523628,513.7447899,294.5478661,2.487553292,-0.02235503052,1,-0.08872711514,-0.03132996957,-0.1162254068,-0.07238644735,0.1980678841,0.001776441153,0.08255087778,0.001068013692,0.3524986175,0.3525792069,0.1552372534,0.1714058384,-6.938893904e-17,1.775186781,0.107889433,0,0,0,0,0.8888888889,0.0025,0.00125,0.005,0.0075
37,154.7137569,634.7436887,86.93243162,483.6690998,287.6432797,-0.9911228702,-0.0237471866,1,-0.06952873335,-0.08027015362,-0.07673075072,-0.08138595303,0.1960046348,0.001533196218,0.07536656009,5.731459404e-05,0.352996228,0.3529010629,0.1498179034,0.1709295881,6.938893904e-17,1.843686431,0.1122847317,0,0,0,0,0.8933333333,0.0025,0.00125,0.005,0.0075
38,160.6029227,648.9219302,87.73293178,519.2975037,291.0450571,1.229007982,-0.01851005001,1,-0.01961568863,-0.07072458168,-0.03122583509,-0.1080924935,0.2030835486,0.002706629176,0.066047683,0,0.3532459088,0.3529590261,0.1526156099,0.1697986263,-6.938893904e-17,1.932236111,0.1055854175,0,0,0.01204819277,0,0.8857142857,0.0025,0.00125,0.005,0.0075
39,158.067674,656.6365366,89.3426455,529.7778998,303.1147435,-7.166006474,-0.02139491969,1,-0.05695180763,-0.0615839594,-0.08011785942,-0.0310559036,0.2070837294,0.002224749079,0.06322973912,0,0.3533557449,0.3534719254,0.1545435627,0.1710948021,6.938893904e-17,1.913060995,0.09943795917,0,0,0,0.01408450704,0.8815789474,0.0025,0.00125,0.005,0.0075
40,158.4567325,675.298049,89.17216914,526.6873851,309.8079469,0.6526792685,-0.02391726357,1,-0.04251973924,-0.007021365357,-0.05783410265,-0.04169330191,0.206699213,0.001389840926,0.05925935345,0,0.3541746259,0.3539267078,0.1530660971,0.1722481497,-6.938893904e-17,1.918942465,0.09876748586,0,0,0,0.01388888889,0.8795180723,0.0025,0.00125,0.005,0.0075
41,159.3409496,662.3263907,91.49860755,523.3060438,315.757474,-0.8131597233,-0.02439897504,1,-0.06042680877,-0.04457418931,-0.06872369052,-0.04761608001,0.2034958433,0.0003555783054,0.064673611,0,0.3541164009,0.3538126093,0.1515635436,0.1713178769,6.938893904e-17,1.895867545,0.09867732843,0,0,0,0.01388888889,0.8591549296,0.0025,0.00125,0.005,0.0075
42,157.9478998,646.32061,91.62720132,503.4248367,315.7243665,0.4578828077,-0.02474435326,1,-0.05830007508,-0.07321833678,-0.07356483729,-0.04321192006,0.1957699525,0.0003455685397,0.05948926208,0,0.354386693,0.354015349,0.146296251,0.171945116,-6.938893904e-17,1.836693097,0.09811808936,0,0,0,0,0.8493150685,0.0025,0.00125,0.005,0.0075
43,158.1189114,647.7051882,89.92805292,502.5642389,317.7990956,-0.1379914168,-0.02937190434,1,-0.08463787067,-0.04134038645,-0.09622424609,-0.057795222,0.1828612847,0.0002720377787,0.06125066472,0,0.3541456934,0.3542558735,0.1437068947,0.172438912,6.938893904e-17,1.739267238,0.1041728313,0,0,0,0,0.8767123288,0.0025,0.00125,0.005,0.0075
44,160.1012352,686.7613974,88.0254488,534.1976542,316.6203102,-0.7495826261,-0.03195610832,1,-0.02694113591,-0.06403946625,-0.03371797378,-0.08120056413,0.2221640996,0.0002007840128,0.05542050161,0,0.3542438098,0.3538838581,0.1526766737,0.1695352008,-6.938893904e-17,1.881950995,0.1025795216,0,0,0.01136363636,0,0.8714285714,0.0025,0.00125,0.005,0.0075
45,157.9407638,697.1758824,89.59922144,536.7506583,319.6510803,-7.978126007,-0.03869214743,1,-0.0309253064,-0.09434495438,-0.04225461831,-0.0391253992,0.2257709413,0.0001316579097,0.07053961145,0,0.353561337,0.3536123265,0.1605767544,0.1714660211,6.938893904e-17,1.971157847,0.1015954195,0,0,0,0.01333333333,0.8815789474,0.0025,0.00125,0.005,0.0075
46,161.8244769,675.646574,89.48124271,514.0407022,312.9883873,-7.550782802,-0.03752959495,1,-0.04260059653,-0.05960489519,-0.05825532682,-0.06642424857,0.2274945557,1.50939674e-07,0.07092020189,0,0.3530160526,0.3532815075,0.1547260769,0.173212348,-6.938893904e-17,1.970106384,0.100323437,0,0,0,0.01315789474,0.8571428571,0.0025,0.00125,0.005,0.0075
47,159.6832562,703.6465155,89.88671379,541.3856114,313.6006936,-9.759832471,-0.03390606056,1,-0.06962724952,-0.04174985728,-0.08057221478,-0.05962834556,0.2207953854,1.127194211e-19,0.06659834949,0,0.3529305471,0.3528856646,0.1588850531,0.1719713344,2.118038705e-06,1.904719764,0.101708012,0,0,0,0.01282051282,0.8472222222,0.0025,0.00125,0.005,0.0075
48,159.7077454,702.6912588,88.81665222,537.5152013,319.663566,-2.490055011,-0.03959845151,1,-0.05198461356,-0.06859960597,-0.05876310105,-0.03421195464,0.2151566969,1.142772664e-07,0.06476836547,0,0.3531229626,0.3528935211,0.162090372,0.1706814415,2.089823874e-06,1.877622203,0.1081309679,0,0,0,0.01315789474,0.8815789474,0.0025,0.00125,0.005,0.007500011523
49,157.3192091,690.0940756,88.25444622,522.807914,315.7631398,-2.909630316,-0.03613269546,1,-0.08221962633,-0.07649045501,-0.09575892029,-0.08675207297,0.2137465358,9.986770309e-08,0.07513445555,0,0.3531870175,0.3533704097,0.1598957581,0.1652891003,2.06198288e-06,1.761580081,0.1127245736,0,0,0,0,0.8289473684,0.0025,0.00125,0.005,0.007500014522
50,158.3721742,681.7409808,87.88448852,512.5438419,332.2707472,-0.2624897699,-0.03369348056,1,-0.03152378042,-0.03560963758,-0.03649344667,-0.04517514522,0.2230403938,8.54744914e-08,0.06968007344,0,0.3511045097,0.353374712,0.1543049082,0.1643225577,2.034512016e-06,1.777799473,0.1131744165,0,0,0.01136363636,0.01234567901,0.8536585366,0.0025,0.00125,0.005,0.007500017167
51,156.1335537,717.6866105,87.43499631,546.4305741,329.7761399,1.32330648,-0.03746420925,1,-0.024582555,-0.07424964311,-0.0330190935,-0.05389549757,0.2246573729,7.110367727e-08,0.07403266024,0,0.3462903057,0.353198187,0.1619790266,0.169364279,2.007406383e-06,1.854223419,0.1065048773,0,0,0,0,0.8588235294,0.0025,0.00125,0.005,0.007500019492
