t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,18.73064508,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,1.020680609,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,170.9858972,116.076927,39.65379082,76.42313615,37.30970731,0.720870236,-0.0003151961216,1,5.071602112,1.074159321,0,0.9919072278,0.0235048543,0.005742933388,0.04555775075,0,0.01420294487,0.03398473862,0.03271616715,0.08276661594,-6.938893904e-17,3.110058857,0.3373460113,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,165.722319,208.3530356,53.59341675,154.7515627,62.04646457,1.380649983,-0.003100956866,1,0.7869650063,0.3515332493,1.011022166,0.6630112922,0.05236411566,0.01586918526,0.09070238798,0.0002953030011,0.04405869869,0.1030047459,0.06734177231,0.1117353482,6.938893904e-17,3.354460723,0.2509857241,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,170.2272062,252.7508005,62.86904989,189.7951029,75.18442856,1.844130507,0.0008321024748,1,0.1968950111,0.1725805731,0.2046083563,0.2106864381,0.06109051923,0.04303360193,0.117767458,0.0005102452495,0.08202881354,0.2006987704,0.08463486651,0.13318493,-6.938893904e-17,3.361743985,0.2426184753,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,171.8780462,297.3190139,66.35359257,230.5357098,96.62953297,2.246897142,0.01806202334,1,0.1623875371,0.05478869966,0.1969842384,0.285179184,0.0716217789,0.07434491759,0.1447006284,0.0006569559869,0.1390862326,0.2952264171,0.1022673162,0.139563053,6.938893904e-17,3.068395257,0.2167906009,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,168.9906623,341.2908566,71.54876074,269.3147995,115.8824584,2.589988958,0.0099447049,1,0.1262356186,0.07819457179,0.1375952015,0.1992447326,0.08007578426,0.1177711241,0.1619601075,0.0007295796452,0.1928899123,0.3475734162,0.1185170512,0.151708439,-6.938893904e-17,2.908985153,0.198681419,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
7,164.9091769,402.8259987,78.90411463,322.7859126,127.1696114,3.123779192,0.01222321931,1,0.1369004413,0.1019451775,0.1436359177,0.09551158314,0.09554699645,0.1350757115,0.2059127456,0.0004342766441,0.2394787127,0.3659775083,0.1429634254,0.1686989194,6.938893904e-17,2.820137458,0.1929453336,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
8,173.250809,464.1268483,79.34621345,384.7806348,139.0827623,3.833968711,0.01297556332,1,0.1392174588,-0.01854594708,0.1750837281,0.06763923434,0.1121994146,0.1744204724,0.2382356629,0.0002193126287,0.2910338332,0.3572036758,0.1709234146,0.1702264506,-6.938893904e-17,2.917387833,0.166456492,0,0,0.01538461538,0,0.9833333333,0.0025,0.00125,0.005,0.0075
9,168.95313,514.324178,78.8216231,435.5025549,157.7636051,4.372962534,-0.004200300061,1,0.09803462418,-0.01283258209,0.1194769753,0.09234490835,0.1232474919,0.1787960468,0.2596908192,7.258899963e-05,0.3247292745,0.3534321891,0.1855399002,0.1695191306,6.938893904e-17,2.760018983,0.1461291424,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
10,168.5914661,527.9775947,78.18185375,449.4345984,161.1080739,4.592688006,-0.004104135219,1,0.01438782349,-0.008709000301,0.01833129851,0.01715621535,0.1182945464,0.1769218733,0.2561314541,0,0.3462216685,0.356125416,0.1837630961,0.1691939343,-6.938893904e-17,2.489723986,0.1413002979,0,0,0,0,0.9833333333,0.0025,0.00125,0.005,0.0075
11,167.9428273,538.0780194,77.95593714,460.0050171,166.3954147,4.77850546,0.002236598362,1,0.008430192789,-0.005808139155,0.01028344295,0.004393971984,0.1308296333,0.1730094797,0.2460741903,0,0.3592784889,0.3568574985,0.1861625305,0.1677278413,6.938893904e-17,2.505442961,0.1354188683,0,0,0,0,0.9836065574,0.0025,0.00125,0.005,0.0075
12,169.5078739,538.3542554,79.00539337,458.6862001,176.3606075,4.877987834,-0.008304179222,1,-0.02371790481,0.01222768146,-0.02974874886,-0.0001049101987,0.1227675426,0.1699791023,0.230700843,0,0.3562494687,0.3562432746,0.1768291076,0.1703003305,-6.938893904e-17,2.392204252,0.139280985,0,0,0,0,0.9836065574,0.0025,0.00125,0.005,0.0075
13,163.0150754,524.5327775,78.96822936,444.9664779,197.2678794,4.869593224,-0.01250071067,1,-0.04233876287,-0.004935981495,-0.04892399148,0.01360488789,0.1261564892,0.1569232969,0.1994249691,0,0.3563004321,0.3545653795,0.1636795016,0.1708713731,6.938893904e-17,2.103404367,0.1389490509,0,0,0,0,0.96875,0.0025,0.00125,0.005,0.0075
14,164.5860004,550.4575408,78.75850765,471.6990331,209.896367,5.231630736,-0.01885198929,1,0.01762648631,-0.005323144322,0.02119773023,-0.02122248241,0.132042203,0.1288147161,0.1937651571,0,0.3561698423,0.3545892187,0.1650542626,0.1691032056,-6.938893904e-17,2.107190518,0.1300377482,0,0,0.01351351351,0,0.9365079365,0.0025,0.00125,0.005,0.0075
15,160.6489839,575.739516,78.91872616,496.6537181,224.6468283,5.536770441,-0.03637861079,1,0.02611260082,-4.711043278e-05,0.02992025781,-0.04361399638,0.1386598056,0.09817128431,0.20056919,0,0.3555012887,0.3545950828,0.1704833775,0.1701344018,6.938893904e-17,2.242400914,0.1194208807,0,0,0,0,0.9242424242,0.0025,0.00125,0.005,0.0075
16,158.6236671,589.8349121,80.19264841,501.9701338,222.5893891,1.312784362,-0.04857368571,1,-0.03470326818,-0.004478332561,-0.05456022045,-0.05063095151,0.1430783078,0.09345887366,0.198574626,0,0.3565011016,0.3552147422,0.1718039928,0.1719593216,-6.938893904e-17,2.163579142,0.1192467357,0,0,0,0,0.8955223881,0.0025,0.00125,0.005,0.0075
17,160.1337118,591.907622,80.48972698,493.5849676,226.580173,5.697946843,-0.04554579856,1,-0.04489827991,-0.009735232787,-0.06277408626,-0.03923727978,0.1303842673,0.07920111169,0.1999634573,0,0.3566341914,0.3559758907,0.169169522,0.1713836923,6.938893904e-17,2.072940597,0.1153643834,0,0,0,0,0.9117647059,0.0025,0.00125,0.005,0.0075
18,159.3272067,591.0951202,80.21701228,490.1864827,244.4027551,1.279025933,-0.04629772372,1,-0.05046306625,-0.008068260188,-0.06635261415,-0.0515843301,0.1344015933,0.0709841435,0.1739975647,0,0.3569161187,0.3559043148,0.1622749808,0.1713917658,-6.938893904e-17,2.046596782,0.1154849603,0,0,0,0,0.9264705882,0.0025,0.00125,0.005,0.0075
19,156.2530904,571.0817302,80.33943517,460.957693,231.8646884,1.155532957,-0.04181269254,1,-0.07272026609,-0.009465682168,-0.09532109762,-0.08939667967,0.1442419214,0.06607387109,0.1595943685,0,0.3570078113,0.3565655318,0.1504588069,0.1717667342,6.938893904e-17,2.063818012,0.1158649198,0,0,0,0,0.9264705882,0.0025,0.00125,0.005,0.0075
20,158.9441218,592.4420433,80.26431132,479.8591101,220.0008646,2.472386006,-0.03357776947,1,0.01038009927,-0.008404660701,0.00974340058,-0.1251614335,0.1451365832,0.06406696482,0.1442274788,0,0.3575744524,0.356934704,0.1491531093,0.1702043986,-6.938893904e-17,2.142664298,0.1042460383,0,0,0.01333333333,0,0.8985507246,0.0025,0.00125,0.005,0.0075
21,158.1703746,618.3181407,80.68994223,502.9645388,227.7396872,0.1345970464,-0.03316246438,1,-0.008974356732,-0.02800323916,-0.01212998659,-0.07116433716,0.138944981,0.06713988943,0.1518935556,0,0.3569352094,0.3565700713,0.1568557368,0.1708160232,6.938893904e-17,2.296638471,0.1051356288,0,0,0,0,0.9253731343,0.0025,0.00125,0.005,0.0075
22,160.587794,637.2123497,81.23171721,518.8318711,223.8365293,-4.46888488,-0.01973302279,1,-0.04010642726,-0.005096687966,-0.04793249198,-0.0843319906,0.1458195612,0.07980653423,0.1415540987,0,0.3560538133,0.3561345066,0.1611455599,0.1720919295,-6.938893904e-17,2.265562986,0.1047502365,0,0,0,0,0.9402985075,0.0025,0.00125,0.005,0.0075
23,162.0344199,633.4215136,80.82208981,512.1913994,218.6100367,0.1603378827,-0.0134186882,1,-0.04547177909,-0.01848619244,-0.05657986037,-0.09504894299,0.1361063549,0.07023124942,0.1392077228,0,0.3561724692,0.3558818463,0.1624033663,0.1707188338,6.938893904e-17,2.346849108,0.1036561476,0,0,0,0,0.8939393939,0.0025,0.00125,0.005,0.0075
24,164.0671347,631.7560616,81.16302469,509.3600933,232.5999692,0.3518319759,-0.01763811592,1,-0.06657118166,-0.02528047953,-0.09033175112,-0.06333376177,0.1309876774,0.0741722269,0.136706077,0,0.3555028157,0.3555110742,0.1590949351,0.1715712533,-6.938893904e-17,2.310436402,0.1036407935,0,0,0,0,0.9285714286,0.0025,0.00125,0.005,0.0075
25,162.66635,608.9909478,81.76375762,488.3448546,249.5875784,2.343570433,-0.01024298771,1,-0.05948507079,-0.05725831693,-0.07378237092,-0.05305933417,0.1277803535,0.05339140698,0.114456351,0,0.3551957827,0.3552764788,0.1631634715,0.1715722937,6.938893904e-17,2.221629953,0.09991936402,0,0,0,0,0.9253731343,0.0025,0.00125,0.005,0.0075
26,165.8197933,659.8458678,82.29553078,537.0580919,261.9473319,6.390716681,-0.0141977859,1,-0.01000267231,-0.05816322538,-0.01245478995,-0.03132039359,0.1573413798,0.05238777971,0.1088944544,0,0.354815351,0.3544717147,0.1700210622,0.1708482086,-6.938893904e-17,2.273704823,0.09498703361,0,0,0.01234567901,0,0.9154929577,0.0025,0.00125,0.005,0.0075
27,164.9064169,676.4314378,81.47491773,560.884022,272.5155007,6.582228086,-0.01522857857,1,-0.06117762003,-0.06065309376,-0.06892649126,-0.02301504374,0.1675549958,0.05232523437,0.1180779451,0,0.3535915916,0.3534933061,0.1731239222,0.1717316821,6.938893904e-17,2.176391699,0.08751369894,0,0,0,0,0.904109589,0.0025,0.00125,0.005,0.0075
28,167.0627506,693.3504869,84.24263297,572.8718093,277.9760911,6.71598408,-0.02410768023,1,-0.02562571038,-0.02166176341,-0.03480428797,-0.06321116562,0.1809052916,0.04239406915,0.1156846175,0,0.3528300548,0.3532580419,0.1694896551,0.1721261346,-6.938893904e-17,2.151150422,0.08669738046,0,0,0,0,0.8767123288,0.0025,0.00125,0.005,0.0075
29,165.8571591,719.3879204,84.24792868,595.520187,280.8722556,6.93002107,-0.01404184976,1,-0.05107001568,-0.06525986611,-0.0534440818,-0.04459391266,0.1856141878,0.03056261762,0.1182446552,0,0.3531049789,0.3529651824,0.1725112168,0.1705071462,6.938893904e-17,2.182916129,0.08644281868,0,0,0,0,0.7638888889,0.0025,0.00125,0.005,0.0075
30,166.7952138,721.615156,84.10242948,596.3470447,281.5527321,6.983094159,-0.0175229988,1,-0.0621873846,-0.05025810663,-0.06778362613,-0.04824782362,0.1976880263,0.03488806192,0.1032813438,0,0.3524211304,0.3525284825,0.1721749225,0.1710174708,-6.938893904e-17,2.163392115,0.08867361301,0,0,0,0.01351351351,0.7571428571,0.0025,0.00125,0.005,0.0075
31,162.3768083,705.5584068,84.62242109,594.8582467,291.3083865,0.9821753732,-0.01999011697,1,-0.06570881874,-0.04820429131,-0.06916882615,-0.09989126389,0.2044997834,0.02670974188,0.08882119913,0,0.3526911706,0.3526726353,0.1663445295,0.1710764391,6.938893904e-17,2.127124814,0.09223890848,0,0,0,0.01449275362,0.8405797101,0.0025,0.00125,0.005,0.0075
32,166.4048797,726.1011921,84.53437434,623.5662231,284.6920716,4.333759855,-0.01765457356,1,-0.005610049416,-0.0305944278,-0.005869068518,-0.09280193149,0.2388168801,0.02733673419,0.08054926263,0,0.3533441147,0.3531040437,0.1663638216,0.1697119169,-6.938893904e-17,2.2523522,0.08736775758,0,0,0.01162790698,0,0.7972972973,0.0025,0.00125,0.005,0.0075
33,165.3170621,771.9195446,85.30316394,653.1988786,286.1475145,-2.061133595,-0.0324350676,1,-0.03332247314,-0.07600027044,-0.0392030296,-0.07778422553,0.2325369124,0.02390063632,0.09742259659,0,0.3533928657,0.3530411618,0.1809452811,0.1707979638,6.938893904e-17,2.493439358,0.08294535729,0,0,0,0.01369863014,0.8405797101,0.0025,0.00125,0.005,0.0075
34,165.7429552,759.8472497,85.14106773,649.7835745,291.2458971,-9.64918,-0.03766996556,1,-0.0504794353,-0.03152490235,-0.05684292004,-0.06054547993,0.2528410443,0.02037380514,0.09531708143,0,0.3532168914,0.3532853747,0.1760548636,0.1717462247,-6.938893904e-17,2.417505605,0.0853918675,0,0,0,0,0.7746478873,0.0025,0.00125,0.005,0.0075
35,167.1495601,767.2326058,84.40961644,655.6772485,288.9464785,1.679138911,-0.02848573277,1,-0.05749364838,-0.05386909498,-0.06679960281,-0.08093473271,0.2519292941,0.02623688016,0.09339623245,0,0.3536598932,0.3534474923,0.1777938574,0.1690309428,6.938893904e-17,2.395301209,0.08517429433,0,0,0,0.02898550725,0.8028169014,0.0025,0.00125,0.005,0.0075
36,166.6135232,741.2859098,84.16327002,626.6087429,294.6003037,-0.319942362,-0.03297612038,1,-0.05812814717,-0.08070111762,-0.07218746236,-0.06417898864,0.2384505498,0.02332408534,0.08056106581,0,0.3534463307,0.3533179022,0.1699739026,0.1705689762,-6.938893904e-17,2.219808762,0.08680040907,0,0,0,0,0.8169014085,0.0025,0.00125,0.005,0.0075
37,162.5095818,726.2581383,84.18524055,611.1038567,303.9864705,-3.834292609,-0.0236978807,1,-0.08262467017,-0.1173995799,-0.09023212319,-0.04063378654,0.2371147661,0.01684277554,0.06744058381,0,0.3534044847,0.3533730532,0.1624662129,0.1701221588,6.938893904e-17,2.170781366,0.08603115792,0,0,0,0.025,0.8378378378,0.0025,0.00125,0.005,0.0075
38,166.5917626,753.7904176,84.25905463,635.1980816,300.1406771,2.498595617,-0.01689921566,1,-0.04070005147,-0.08989939497,-0.04399623456,-0.03533195855,0.2425972624,0.0186898113,0.06685949169,0,0.3505175486,0.3525524038,0.166077357,0.170278202,-6.938893904e-17,2.183376791,0.08578848508,0,0,0.01176470588,0,0.7777777778,0.0025,0.00125,0.005,0.0075
39,164.9122249,812.6191598,85.15373684,688.46848,311.7624518,-10.16062785,-0.02563064228,1,-0.01234646672,-0.04849321682,-0.01623800684,-0.04834794761,0.2378485913,0.01454096809,0.09966851451,0,0.3476462449,0.3515542423,0.182454681,0.1714615613,6.938893904e-17,2.291666876,0.07987971228,0,0,0,0.04225352113,0.68,0.0025,0.00125,0.005,0.0075
40,164.9390911,808.5411944,85.76113343,678.7141245,302.5936719,-2.731121967,-0.03218035488,1,-0.0419411924,-0.03360902885,-0.04761452515,-0.06157354021,0.2388103942,0.01818466944,0.1029185533,0,0.3471718005,0.3506582218,0.1808456447,0.1720752583,-6.938893904e-17,2.347086987,0.0795394384,0,0,0,0.03947368421,0.8157894737,0.0025,0.00125,0.005,0.0075
41,166.4824265,820.0293976,85.93021092,684.8874439,302.8774083,-1.355175257,-0.03408233722,1,-0.05112251903,-0.07696576748,-0.0562983582,-0.03619725785,0.2386706919,0.01329207715,0.110695561,0,0.3492785453,0.351912511,0.1845746867,0.1715365558,6.938893904e-17,2.386673485,0.08344480967,0,0,0,0.03896103896,0.6891891892,0.0025,0.00125,0.005,0.0075
42,165.2600819,803.9978242,86.34441243,664.5673516,308.464441,1.459244487,-0.04917587379,1,-0.05653656804,-0.05213600874,-0.06045699817,-0.04829714137,0.2367309017,0.01143534433,0.1007602427,0,0.3537633785,0.3540092432,0.1774157189,0.171813085,-6.938893904e-17,2.281188659,0.08346398826,0,0,0,0.01315789474,0.7951807229,0.0025,0.00125,0.005,0.0075
43,164.9489238,800.7518654,86.53544616,660.1623054,295.487329,2.443294492,-0.05692098847,1,-0.06948332261,-0.0348975977,-0.07420772449,-0.1142353258,0.2374711197,0.0096841615,0.1447732118,0,0.3555718,0.3552985838,0.1896598053,0.171650318,6.938893904e-17,2.294581095,0.08778989541,0,0,0,0.01315789474,0.7721518987,0.0025,0.00125,0.005,0.0075
44,168.9445938,838.7664267,86.852287,695.8431996,297.4448404,-4.628725966,-0.05061009709,1,-0.01569609994,-0.04439133356,-0.0176249808,-0.06704316128,0.2441230266,0.03674087375,0.1284714369,0,0.3557793541,0.3554714644,0.1908622822,0.1716246141,-6.938893904e-17,2.398068525,0.08219932233,0,0,0.01162790698,0.03846153846,0.7375,0.0025,0.00125,0.005,0.0075
45,170.4775204,898.0524496,87.46050108,756.8823361,293.0283324,-8.329726946,-0.04793225723,1,-0.01594377138,-0.05468205712,-0.01715468,-0.05409788166,0.2579800464,0.03888214769,0.1480228616,0,0.3547945554,0.3551006588,0.2041024844,0.1717863741,6.938893904e-17,2.343311232,0.08062472139,0,0,0,0.0641025641,0.72,0.0025,0.00125,0.005,0.0075
46,169.707801,900.0904483,87.09181244,754.6486713,283.6682342,-1.448437699,-0.03745253589,1,-0.04764398278,-0.04106838358,-0.05189426354,-0.06401147397,0.2499319533,0.04068727883,0.1460027896,0,0.3543381169,0.3542465187,0.2020538479,0.1719307222,-6.938893904e-17,2.342554364,0.08223606346,0,0,0,0.05194805195,0.7875,0.0025,0.00125,0.005,0.0075
47,171.0933359,920.3493514,86.38050455,772.6016081,288.212839,-11.68552903,-0.01800543736,1,-0.05582413037,-0.03653528075,-0.05906211792,-0.03822500984,0.2469969965,0.03561906852,0.1540712277,0,0.3534797797,0.3537650533,0.2079672773,0.171203833,6.938893904e-17,2.455283936,0.08372543028,0,0,0,0.05797101449,0.7236842105,0.0025,0.00125,0.005,0.0075
48,171.7783224,888.1781346,85.98754702,733.8118815,285.9345106,-8.861200511,-0.01832404027,1,-0.05453860725,-0.03264209805,-0.06545794885,-0.05210192003,0.2411369647,0.03364203476,0.1537329999,0,0.3527772426,0.3530744492,0.2037606638,0.1712439466,-6.938893904e-17,2.441214664,0.08311600968,0,0,0,0.05479452055,0.7848101266,0.0025,0.00125,0.005,0.0075
49,170.0817141,875.860397,85.97095417,721.5241131,291.0677856,3.465235388,-0.01772108921,1,-0.06909588249,-0.06782414051,-0.07442867083,-0.04958600122,0.2373646316,0.0263056044,0.1640916717,0,0.3533600107,0.3532651813,0.1999653326,0.1703079888,6.938893904e-17,2.289598586,0.08621283256,0,0,0,0.04285714286,0.6842105263,0.0025,0.00125,0.005,0.0075
50,171.6998182,912.8563224,86.01193192,766.2145909,293.0746922,-7.621980439,-0.008025488434,1,-0.01494614035,-0.06010812512,-0.009181655408,-0.03556931305,0.240505917,0.05258602794,0.1653574726,0,0.3533876885,0.3531565264,0.2045527124,0.17111978,-6.938893904e-17,2.21430383,0.08404670298,0,0,0.01123595506,0.01369863014,0.7638888889,0.0025,0.00125,0.005,0.0075
51,167.2066999,955.6454899,86.18668958,799.675174,300.7978189,-4.227874577,-0.01378203673,1,0.002734388592,-0.07672019013,0.001165026227,-0.04314196479,0.2489249384,0.06740645172,0.1707593904,0,0.3530824513,0.3532401283,0.2128628188,0.1719251905,6.938893904e-17,2.196463752,0.07759094921,0,0,0,0.05479452055,0.7011494253,0.0025,0.00125,0.005,0.0075
