,Short Term Loans,Long Term Loans,Total Loans,Total Deposits,Financial Sector I.HHI,Financial Sector Leverage,Financial Sector Short Term Rate,Financial Sector Default Rate,Share of Ponzi Firms,Share of Speculative Firms,Share of Hedge Firms,C. Sector Debt Rate,K. Sector Debt Rate,I. Sector Debt Rate,Class A Debt Rate,Class B Debt Rate,Class C Debt Rate,Avg. Firms Debt Rate,Avg. Class Debt Rate
avg. growth rate,0.01514476188854,0,0.03656996214822,-0.004662088063276,0.0004751473807322,4.800212237092,0.11613609801402,0.000449558001302,0.00302170491382,0.636709887774,0.3602684073052,0.30623198466,0.277880798388,0.278456835272,0.14217813737272,0.336590678344,0.34724813303,0.291317979464,0.237675341046
 (s.e.),0.0129787701127508,0,0.00501795022682937,0.00568708851438749,9.79907225575266e-05,0.474366584810807,0.00491373581916798,0.000168171319210069,0.000581304063233526,0.0127162932806857,0.0126584920623217,0.00875181812025308,0.00645354426362399,0.00666581626314339,0.024179695415262,0.0107517163554617,0.00722866041730955,0.00574399126512387,0.0140036206408392
ADF test (logs),-7.52773701052045,-8.94668797454381,-8.93351514313857,-7.14431287002506,-2.57882184752609,-2.09919904980096,-3.4160924385624,-6.98597242501818,-7.24663560038972,-3.29042354079147,-3.32249156049101,-7.04068730644987,-7.10101411646838,-7.17165368855249,NA,-1.86229372945575e+26,-8.21158746115394,-7.83552862742475,-5.11740745941724
 (s.e.),0.134345309480455,0.106946064687339,0.105249492964695,0.258107813629289,0.111551564567551,0.239118746144123,0.231189794272106,0.0969187797965207,0.135475707901425,0.124242850986677,0.125046358517481,0.0996173711668728,0.127633424405305,0.0888870866556314,NA,1.86229372945575e+26,0.276284844625495,0.122389435482322,0.532406625410615
 (p-val.),0.01,0.01,0.01,0.0205267396511957,0.355927048564118,0.497169850387323,0.28293111669175,0.01,0.01,0.176821580292236,0.171864621555421,0.01,0.01,0.01,NA,0.101387411916888,0.0274107161774933,0.01,0.281996984997441
 (s.e.),0,0,0,0.00888680471310655,0.03692478845037,0.0528453175229606,0.0447024382081096,0,0,0.0304144580384355,0.0303674349869727,0,0,0,NA,0.0341293033825433,0.0121976761290803,0,0.0512881061193335
 s.d. (bpf),0.0323917943548222,0.0346596503232315,0.0314602687699169,0.0244310889307645,8.83509318033276e-05,0.16222401357606,0.00410232729648535,0.00127537406844993,0.00200412887559332,0.0198077329667386,0.0198541627991789,0.0498504318355784,0.0219615576373132,0.0430578994771448,0.0048546708294308,0.00232500948467405,0.0012194656572605,0.0335140215970733,0.00339239828588597
 (s.e.),0.000234531883554998,0.000108730352452829,9.95736901304547e-05,0.000209595865464885,2.15609349448494e-06,0.0019720113757428,1.53617098016448e-05,3.48747774997317e-06,8.6850054369016e-06,3.80363842470234e-05,3.93678847071478e-05,0.000194531657464115,8.61210885309266e-05,0.000198647091850237,0.000106821004771859,7.50792263574333e-05,3.50443850688848e-05,0.000118543289981051,5.37747257067687e-05
 relative s.d. (GDP),1.82204177579767,1.94960890809883,1.76964336549876,1.37425127402533,0.00496974903313279,9.12511750770442,0.230756333851529,0.071739922988825,0.112732456109515,1.11418702384635,1.1167987067134,2.80409193609418,1.23533988387451,2.4220112898369,0.273075735233309,0.130782023490195,0.0685950690887989,1.88516717400567,0.190822753729556
