,-4,-3,-2,-1,0,1,2,3,4
Total Debt,-0.00952833922174099,0.133214683412221,0.262673801641006,0.367732819511338,0.452066634107488,0.520047841789652,0.570998665488197,0.584741887269817,0.538052311365405
 (s.e.),0.0181956272949968,0.0177699440385756,0.0166388637793586,0.015308702249034,0.0142017241547249,0.0130882203755872,0.0116145866736639,0.0105786079189132,0.0110594797335612
 (p-val.),0.0319577272972111,2.42481264468392e-05,6.28012391789534e-16,7.64387224060922e-24,2.29682363849796e-30,1.88038356404656e-35,3.37961620067417e-40,1.01422818450685e-42,9.46996660283997e-40
Short Term Loans,-0.124035413818926,-0.145920888258096,-0.160949628889276,-0.150894054471909,-0.100697239169839,-0.00990184356278249,0.102038744605497,0.205182724143832,0.272711161200528
 (s.e.),0.0215189470655896,0.0191666201967294,0.0176446968364007,0.0195713228466346,0.0256365440770737,0.0333103813192589,0.0397641856838658,0.0432066621769709,0.0430243317553586
 (p-val.),3.903368756044e-05,4.3818010151293e-05,9.06965442676107e-07,9.58701806242522e-08,3.18281517526043e-07,8.39795871581314e-07,4.56228912244993e-08,5.4252380875159e-10,5.9731815989398e-11
Long Term Loans,0.00207651996743122,0.149534770465746,0.283031337387776,0.389502994066257,0.471076163789354,0.531877417657641,0.572997486677903,0.576848807160475,0.522535890573035
 (s.e.),0.0180842194427118,0.0176497994089909,0.0164536209167989,0.0149733228281543,0.0137102246262326,0.0124953557348074,0.0110084001124468,0.0101729749644164,0.0110399982420489
 (p-val.),0.0509416593700382,1.04796747682289e-06,4.97369334341508e-18,1.1391798344463e-25,4.40958680332738e-32,5.95307120670049e-37,2.14631784390637e-41,3.34911784725065e-43,4.61615747026703e-39
Total Deposits,-0.300404301082371,-0.315099587474763,-0.26893121969929,-0.165536982993485,-0.029475152923905,0.101308703392013,0.192198289104846,0.227536111119317,0.214076904524916
 (s.e.),0.0176334322801441,0.0187579518436832,0.0203404596532076,0.0225263344176342,0.0248323154011064,0.0263642122037584,0.0267602918954782,0.0262085259327892,0.0250910116878687
 (p-val.),9.03377077402066e-18,5.66546376386359e-19,2.09085695434365e-15,3.03420786570145e-08,0.000230076574089815,4.03826647968149e-05,1.04372201683657e-07,3.18244191694297e-09,4.9577080904463e-09
Firms Debt Rate,0.0369129924010963,0.132975064222049,0.21423783871982,0.285900367252418,0.357179733810591,0.423530585433819,0.46926746719583,0.467510469653233,0.400396438859073
 (s.e.),0.0203901528044485,0.0205116636709975,0.0202345869720388,0.0198560773430354,0.0189251587347075,0.0170059705846038,0.0148033263338051,0.0134476986679743,0.0130958993600295
 (p-val.),0.00277323056868716,6.24999083531352e-06,3.63026932468508e-10,3.96555030244878e-14,9.72170580116193e-20,2.78965123580291e-25,1.85869901002976e-30,2.77948797467317e-32,6.0102604036219e-29
Class Debt Rate,-0.0417776037480089,-0.135420822214394,-0.238940391764774,-0.336258616902599,-0.405360054757967,-0.422734195010491,-0.383015875561417,-0.296569880421925,-0.187576848375213
 (s.e.),0.0260492069198838,0.0267885202814694,0.0260734042417254,0.0235006665430118,0.0196899646996701,0.0174191180871042,0.0210666475669931,0.0286525112276064,0.0354861318637197
 (p-val.),0.00460656218709229,7.55133246380839e-05,8.22141530824455e-09,1.50452761337886e-14,1.52425666427335e-21,8.79024689634887e-25,4.46909210773879e-19,2.11158896498321e-11,2.46563029077614e-10
Financial Sector Leverage,0.189222687689636,0.316918932468029,0.394091618829971,0.41335285202057,0.393435156160148,0.363341144284117,0.345372523206309,0.333737830438559,0.305080009211851
 (s.e.),0.017737177303431,0.0164713805788967,0.015690099500712,0.0160542105199547,0.0170817175143033,0.0175728256083891,0.0172992103913645,0.016997756664478,0.0171371141784444
 (p-val.),3.07354433118445e-09,5.94591770389593e-19,4.54409142405968e-25,8.62451630212422e-26,1.9401093022129e-23,4.85296123725712e-21,6.15978774606166e-21,1.64578709452275e-21,8.71021293838862e-20
Financial Sector Profits,-0.0720883764483946,-0.000161027151624823,0.0918577624571125,0.161659286647567,0.175240674034525,0.129404073290333,0.0567320621538266,-0.001899631983531,-0.0253305163276727
 (s.e.),0.0121527973162481,0.0117766808770393,0.0117687415268008,0.0129449610047332,0.0147700324357202,0.0160244192950112,0.0161050524605574,0.0149746638892269,0.0130588897116191
