,Short Term Loans,Long Term Loans,Total Loans,Total Deposits,Financial Sector I.HHI,Financial Sector Leverage,Financial Sector Short Term Rate,Financial Sector Default Rate,Share of Ponzi Firms,Share of Speculative Firms,Share of Hedge Firms,C. Sector Debt Rate,K. Sector Debt Rate,I. Sector Debt Rate,Class A Debt Rate,Class B Debt Rate,Class C Debt Rate,Avg. Firms Debt Rate,Avg. Class Debt Rate
avg. growth rate,0.012866656397078,0,0.02861482061038,0.00361829088285,0.00091995419706,2.779441723296,0.10999761150922,0.001509375397586,0.00065089688462,0.246212122588,0.753136980526,0.24671461594,0.22569882307,0.2049087464416,0.188475452088,0.312311370166,0.341182023822,0.227036185316,0.252544521205
 (s.e.),0.00305480381864454,0,0.00576207853757779,0.003406600824502,0.000106548751238408,0.194968199125155,0.00642466103158155,0.000425536505959558,0.000328533089584118,0.00824705075531303,0.00820282216375683,0.00637378179542512,0.00685249888831716,0.00895299972634987,0.02467980135018,0.0164874818479011,0.00995146828827581,0.00613611179553011,0.0162452234083283
ADF test (logs),-6.55193605362413,-7.28431486282529,-7.25016840163396,-7.77735560585446,-2.47119004179916,-3.88269409559795,-4.05784043307292,-6.77298293256115,-7.07321081168035,-3.90216109972266,-3.94406240792687,-6.25607627644456,-5.55498508580287,-5.25014564637937,NA,-6.95299953318122,-6.99841603203793,-6.19260625157997,-3.60026614435238
 (s.e.),0.14004650592146,0.120623046998874,0.119128796744497,0.214550091667948,0.10808763830579,0.21894600660724,0.257424848696681,0.0822784358479279,0.156385202614656,0.114121853991703,0.114465012558615,0.0910125146774026,0.139138351651052,0.113636618336416,NA,0.381093706313473,0.24262844604845,0.104272865666676,0.304338977974789
 (p-val.),0.01,0.01,0.01,0.0227234748637187,0.401109796304555,0.18551169185154,0.20755467062766,0.01,0.0101013515865531,0.0661202171328686,0.0621170131850579,0.01,0.0110294047351946,0.0104156752259322,NA,0.104489284792767,0.0384955728320306,0.01,0.333552511096625
 (s.e.),0,0,0,0.0127234748637187,0.0398313347111051,0.0386776142091527,0.039805188811689,0,0.000101351586553147,0.016479301382142,0.0157419550952951,0,0.000563902480010061,0.000274104367996981,NA,0.0377873915797748,0.020531498954209,0,0.0501139806326304
 s.d. (bpf),0.0303240620229498,0.0395030480366185,0.0349621237573181,0.0275160655831266,0.000151933555177402,0.124394931400766,0.00496995597351473,0.00182134947453023,0.00168044419492643,0.0185865097493783,0.0186112419162694,0.0423766624176986,0.0194381004533631,0.0375040675779726,0.00798431645951591,0.0017833544667473,0.00112582452913298,0.0283883559866666,0.00473614251870761
 (s.e.),0.000349660038297528,0.000110045568421269,9.08337675884423e-05,0.000143381180177098,1.57445637135837e-06,0.000903789814233203,2.34549912442887e-05,6.12655263544607e-06,8.83136351364931e-06,3.54698254010003e-05,3.47428343976159e-05,0.000194739029479447,7.08986273922499e-05,0.000215692837036347,0.000106109207748695,4.95803981628855e-05,3.21769480443836e-05,0.000112454362001048,5.34052312295356e-05
 relative s.d. (GDP),2.44327716537928,3.18284849693637,2.81697612162813,2.21703064284236,0.0122416246787418,10.0227764720436,0.400440413749282,0.146750180695692,0.135397128724066,1.4975564560047,1.49954918173418,3.41438200303739,1.56617101429576,3.02178619252106,0.643314146763493,0.143688838358238,0.0907101879086223,2.28731302199512,0.381601543328283
