,Short Term Loans,Long Term Loans,Total Loans,Total Deposits,Financial Sector I.HHI,Financial Sector Leverage,Financial Sector Short Term Rate,Financial Sector Default Rate,Share of Ponzi Firms,Share of Speculative Firms,Share of Hedge Firms,C. Sector Debt Rate,K. Sector Debt Rate,I. Sector Debt Rate,Class A Debt Rate,Class B Debt Rate,Class C Debt Rate,Avg. Firms Debt Rate,Avg. Class Debt Rate
avg. growth rate,-0.0004073299486338,0,0.0253959454673144,-0.000201436448196,0.0004763723328,3.995279529582,0.111638301035,0.000519169823117,0.00058849568058,0.445400837338,0.55401066698,0.266757818158,0.258705754396,0.227025933926,0.210205814608,0.32062214482,0.35598631465,0.24933286266,0.2694013694576
 (s.e.),0.00349740098870299,0,0.0051906027210365,0.00487107812849992,7.06713987020131e-05,0.283849443168806,0.00437371477792336,0.000179342905794655,0.000285779790807403,0.00749150215786146,0.0075280087732707,0.00563641210127439,0.00495446248035559,0.00683991867378071,0.0242286532428088,0.0151672641958795,0.000151672674625138,0.004453347194374,0.0149290675699939
ADF test (logs),-7.15674580427152,-8.35281277934541,-8.29704305247391,-7.58716908203375,-2.60263367463103,-3.35258782317301,-3.86619788726473,-6.74659538048425,-6.92139316165878,-3.46899157704448,-3.4951390516854,-6.60987679305616,-6.28297842250699,-6.0852680234793,NA,-7.22464264940838,-7.57433087169667,-6.91285852673593,-3.96920337017539
 (s.e.),0.146260407628052,0.100793493937796,0.103636958672017,0.193203360225165,0.075367482538453,0.2570334903352,0.221405160395347,0.0849278166265981,0.0922062044215171,0.101012163319614,0.103152938542067,0.0951074530449644,0.142899262382388,0.086211232119542,NA,0.345792538349561,0.156015900169814,0.100114211360895,0.422685476970604
 (p-val.),0.01,0.01,0.01,0.0100561900116234,0.334372043774199,0.26809902621655,0.187384612546825,0.01,0.01,0.114956595863874,0.111627915887175,0.01,0.0103135855164875,0.01,NA,0.088867161049027,0.01,0.01,0.343669318303278
 (s.e.),0,0,0,5.61900116234106e-05,0.0288796928112519,0.0495670398090331,0.0327494045375022,0,0,0.0190445402015649,0.019025417918207,0,0.000313585516487506,0,NA,0.0316063328180331,0,0,0.0512834437611633
 s.d. (bpf),0.0290066732990232,0.0338979067865166,0.0302872842792584,0.0286519163626096,9.14784967565381e-05,0.159549349475272,0.00434606959364413,0.00136068387275379,0.00176527790571913,0.0194225429072669,0.0194326437205342,0.0462019675975086,0.020547265913477,0.0372711626279384,0.00708803020315349,0.00179204420172709,0.0007207231632458,0.0300568315882742,0.00433762254028228
 (s.e.),0.000132256468522515,7.17750813885815e-05,6.19437418085264e-05,0.000165391892203544,1.54517564244724e-06,0.00126687583740706,1.62353214377114e-05,4.03233103636476e-06,8.56321676811537e-06,3.1335849519257e-05,3.18921654356444e-05,0.000176233869164189,6.466121778744e-05,0.000130313157019827,0.000109586535812745,4.69722367878707e-05,1.70517758383542e-06,8.8000733266364e-05,5.37442052151504e-05
 relative s.d. (GDP),2.27029463114106,2.65312174860605,2.37052550570696,2.24252851126247,0.00715984001027161,12.4876102744246,0.34015822370599,0.106498020615732,0.138164790926268,1.52016380613215,1.52095437669826,3.61613611817765,1.60819363899843,2.91713977464087,0.554766027448138,0.140259735682461,0.0564095686254048,2.35248843190398,0.339497089638713
