Country_Annual_Real_GDP_1,Government_Effective_Expenses_1_1
NA,200
3596.603694,50.5
3501.411634,50.5
3413.038804,50.5
3296.223416,50.5
3264.881055,165.9032614
3247.317155,165.9032614
3222.72982,165.9032614
3226.027103,165.9032614
3264.466087,169.9822907
3295.426438,169.9822907
3340.432253,169.9822907
3396.444323,169.9822907
3434.223885,199.7627237
3471.620429,199.7627237
3499.59863,199.7627237
3532.091986,199.7627237
3570.772183,206.7547767
3598.591287,206.7547767
3614.891416,206.7547767
3622.247285,206.7547767
3619.817812,208.1060694
3615.243749,208.1060694
3619.364732,208.1060694
3618.712644,208.1060694
3634.240419,214.5659821
3643.126317,214.5659821
3649.034183,214.5659821
3653.741,214.5659821
3648.854928,215.4711009
3652.824167,215.4711009
3648.589845,215.4711009
3646.152273,215.4711009
3639.077869,210.2357857
3641.605211,210.2357857
3648.427482,210.2357857
3653.308231,210.2357857
3661.964456,217.2623555
3659.104682,217.2623555
3659.2337,217.2623555
3648.771195,217.2623555
3640.281428,220.607754
3630.251186,220.607754
3626.400301,220.607754
3627.5093,220.607754
3628.142939,221.7881449
3620.192252,221.7881449
3626.352638,221.7881449
3638.050128,221.7881449
3625.913384,223.5064454
3601.823277,223.5064454
3578.418697,223.5064454
3552.114711,223.5064454
3545.239792,216.6559549
3548.272028,216.6559549
3536.943926,216.6559549
3526.36187,216.6559549
3507.474111,220.7668051
3514.118614,220.7668051
3508.651308,220.7668051
3508.402418,220.7668051
3529.121684,225.9909502
3484.040152,225.9909502
3475.186407,225.9909502
3473.962717,225.9909502
3481.19685,227.5368302
3519.812162,227.5368302
3561.648557,227.5368302
3579.461814,227.5368302
3573.344049,244.3235636
3581.759138,244.3235636
3578.613398,244.3235636
3584.846805,244.3235636
3615.243828,243.9251568
3641.399431,243.9251568
3664.950377,243.9251568
3709.324646,243.9251568
3741.128058,263.8806518
3795.568791,263.8806518
3842.266138,263.8806518
3884.53159,263.8806518
3932.245137,269.5045709
3983.001008,269.5045709
4027.726819,269.5045709
4072.486394,269.5045709
4104.276497,273.096781
4114.110896,273.096781
4123.512697,273.096781
4123.596538,273.096781
4107.667688,285.4896584
4066.324312,285.4896584
4054.961978,285.4896584
4065.88969,285.4896584
4070.744182,286.1814745
4146.065147,286.1814745
4160.231351,286.1814745
4181.279433,286.1814745
4134.91971,285.233281
4075.283588,285.233281
4090.735272,285.233281
4036.421828,285.233281
4090.698725,284.8200194
4125.998197,284.8200194
4100.593452,284.8200194
4077.318281,284.8200194
4063.746079,300.734667
4040.644992,300.734667
4036.240192,300.734667
4050.834087,300.734667
4050.488285,296.5443691
4054.777837,296.5443691
4012.499173,296.5443691
4007.735579,296.5443691
3998.964866,298.3690694
3987.832298,298.3690694
4025.591933,298.3690694
4038.981618,298.3690694
4007.323241,307.606652
4012.787871,307.606652
4013.894669,307.606652
4030.856733,307.606652
4046.043341,310.3957626
4016.517449,310.3957626
3997.171009,310.3957626
3990.441381,310.3957626
4021.109484,312.3609524
4064.733037,312.3609524
4087.453778,312.3609524
4068.984711,312.3609524
4071.21651,330.1065218
4095.125928,330.1065218
4100.641895,330.1065218
4126.539195,330.1065218
4113.022027,331.1927785
4126.476987,331.1927785
4094.256748,331.1927785
4102.160144,331.1927785
4148.517274,335.5016568
4160.355396,335.5016568
4191.310273,335.5016568
4196.385485,335.5016568
4182.940396,342.6585218
4181.019525,342.6585218
4219.921287,342.6585218
4244.33576,342.6585218
4266.028225,358.2032706
4289.21836,358.2032706
4333.425069,358.2032706
4379.248794,358.2032706
4416.45795,351.7126687
4479.736469,351.7126687
4495.090594,351.7126687
4504.958055,351.7126687
4513.622982,358.0788153
4473.286835,358.0788153
4483.512106,358.0788153
4472.574295,358.0788153
4446.920624,380.4968563
4417.87744,380.4968563
4328.590343,380.4968563
4330.876428,380.4968563
4295.074612,378.3283921
4255.647951,378.3283921
4240.929353,378.3283921
4205.608787,378.3283921
4203.712569,368.6655555
4210.084035,368.6655555
4265.706247,368.6655555
4225.016664,368.6655555
4258.957847,383.7342544
4341.285222,383.7342544
4397.565275,383.7342544
4438.25496,383.7342544
4453.510543,418.9975189
4487.817371,418.9975189
4493.158237,418.9975189
4600.063603,418.9975189
4600.090767,427.7978313
4601.338737,427.7978313
4657.039969,427.7978313
4711.772423,427.7978313
4789.763725,429.1909874
